nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication,Unnamed: 23,Unnamed: 24,Unnamed: 25
"Dr Srinivasa Rao Dammavalam K.Lakshman Srikanth, J.Noshitha Padma Pratyusha, Sucharitha M, Tejaswini M and Ashwini T",,Yes,Development of Artificial Intelligence Based Chatbot Using Deep Neural Network,conference-ICIVC 2021,SCRS Conference Proceedings on Intelligent Systems,No,No,"Pages 41-54, Publisher Springer, Singapore,",2021.0,May,2020-21,https://link.springer.com/chapter/10.1007/978-981-33-4582-9_4,https://doi.org/10.1007/978-981-33-4582-9_4,ISBN-978-981-33-4581-2,Springer link,1.0,"Plants are extremely disposed to diseases that mark the growth of the plant which in chance marks the natural balance of the agriculturalist. The yield of crop drops due to contagions instigated by numerous types of illnesses on parts of the houseplant. Leaf illnesses are principally instigated by fungi, bacteria, virus, etc. Verdict of the illness would be completed precisely and suitable activities should be occupied at the suitable period. Image processing techniques are more significant in detection and classification of plant leaf disease, machine learning models, principal component analysis, probabilistic neural networks, fuzzy logic, etc. Proposed work designates in what way to notice plant leaf illnesses. The proposed scheme will deliver a profligate, natural, accurate, and actual reasonable technique in identifying and categorizing plant leaf diseases. The proposal method is intended to support in the identifying and categorizing plant leaf illnesses using multiclass support vector machine (SVM) classification method. First, input image acquisition, second, preprocessing of images, third, segmentation for discovering the affected region from the leaf images by utilizing K-means clustering algorithm and then gray-level co-occurrence matrix (GLCM) features like (color, shape, and texture) are mined for classification. Finally, classification technique is utilized in identifying the category of plant leaf disease. The projected method compared with K-nearest neighbors (KNN) algorithm and successfully identifies the disease and also classifies the plant leaf illness with 96.65% accuracy.","SVM,GLCM,K-means,Accuracy,Deep learning,KNN",,,,2021-05-20,,,
Dr Dammavalam Srinivasa Rao,"M.Yasaswini and G.Saikumar Dammavalam Srinivasa Rao, B. Nikhil Nivas, N.Koushik",Yes,Detection of Driver Drowsiness Using Neural Networks,Journal,Mukt Shabd Journal,No,No,"Volume 9, Issue 5, Pages 4349-4456, Publisher Mukt Shabd",2020.0,June,2019-20,http://shabdbooks.com/gallery/469-may2020.pdf,DOI:09.0014.MSJ.2020.V9I5.0086781.10468,ISSN NO : 2347-3150,,0.0,,,,,,2020-06-01,,,
Dr Dammavalam Srinivasa Rao,Dr. Dammavalam Srinivasa Rao Pooja Kanungo,Yes,Evaluation of Dynamic PID Mechanism to Prevent DDOS Flooding Attacks,Journal,The International journal of analytical and experimental modal analysis,No,No,"Volume 12, Issue 1, Pages 1478-1485",2020.0,January,2019-20,http://www.ijaema.com/Volume-12-Issue-1-January-2020/,DOI:18.0002.IJAEMA.2020.V12I1.200001.015107,ISSN NO: 0886-9367,The International Journal Of Analytical And Experimental Modal Analysis,0.0,,,,,,2021-01-01,,,
Dr Dammavalam Srinivasa Rao,"M Manasa Devi, M Seetha, S Viswanada Raju, D Srinivasa Rao",No,Detection and tracking of text from video using MSER and SIFT,Book Chapter,"Advances in Decision Sciences, Image Processing, Security and Computer Vision",yes,No,"Pages 719-727, Publisher Springer, Cham",2019.0,July,2019-20,https://link.springer.com/chapter/10.1007/978-3-030-24318-0_82,DOI : https://doi.org/10.1007/978-3-030-24318-0_82,ISBN978-3-030-24317-3,Springer link,5.0,"Text that looks in a scene or is explicitly added to video can offer an imperative additional basis of directory evidence as well as evidences for interpreting the videos arrangement and for classification. Computerized text mining from a number of stationary resources quickness up the progression in workplaces, libraries, banks and an assortment of further places. Text extraction can be completed expending a quantity of various methods provisional upon the necessity of system and exactness level. In this paper, we present and implemented two popular algorithms Maximally Stable Extremal Regions (MSER) and Scale Invariant Feature Transform (SIFT) for spotting and tracking text in digital video. We analyzed results with respect to accuracy of text detection and tracking from videos. Experimental results shows that SIFT are 80% more accurate than MSER in the process of detection and tracking for extraction of text from video. Drawbacks of these two algorithms are also identified. This research paper appearance the diverse alterations that can be made to present text mining procedures by means of applying deep learning based recurrent convolution neural networks (CNN) to rectify drawbacks of two popular proposed techniques. CNN have advantages like local spatial consistency in the input (often images), which permit them to have smaller amount weights as some parameters are shared. This process, taking the form of convolutions, makes them especially well-suited to extract relevant information at a low computational cost.","Extraction,MSER,SIFT,CNN,Detection,Tracking,Extraction,Deep learning",,,,2019-07-26,,,
Dr Dammavalam Srinivasa Rao,"Abhitej Vennapu D. Srinivasa Rao , Ch. Ramesh Babu , Saranya Garapati, Rishitha Chalasani , Manisha Mudupuri",Yes,Breast Cancer Detection Using Artificial Neural Networks,Journal,"International Journal of Engineering, Applied and Management Sciences Paradigms (IJEAM)",No,No,"Volume 54, Issue 2, Pages 280-285, Publisher IJEAM",2019.0,May,2019-20,http://www.ijeam.com/54_2.php,http://www.ijeam.com/Published%20Paper/Volume%2054/Issue%202/40.pdf,ISSN: 2320-6608,IJEAM,0.0,,,,,,2019-05-01,,,
Dr Dammavalam Srinivasa Rao,"A.Thulasi Dr. D. S. Rao, B.Keerthi, P.Kiranmayi",Yes,A Novel Method for Brain Tumor Detection and Extraction,Journal,INTERNATIONAL JOURNAL OF RESEARCH IN ELECTRONICS AND COMPUTER ENGINEERING,No,No,"Volume 6, Issue 2, Pages 908-910",2018.0,June,2017-18,http://www.i2or-ijrece.com/vol.-6-issue-2--version-5-.html,http://nebula.wsimg.com/c6c65df70d8a5faf455cd725a0980467?AccessKeyId=DFB1BA3CED7E7997D5B1&disposition=0&alloworigin=1,,IJRECE,0.0,,,,,,2018-06-01,,,
Dr Dammavalam Srinivasa Rao,"B.VenkateswaraRao3 Dr .D. SrinivasaRao1,Dr .Ch.Ramesh Babu2",No,A Two Step Copyright Protection Scheme for Colour Images,Journal,INTERNATIONAL JOURNAL OF RESEARCH IN ELECTRONICS AND COMPUTER ENGINEERING,No,No,"Volume 6, Issue 2, Pages 762-765",2018.0,June,2017-18,http://nebula.wsimg.com/7feccafb5652f51baccef0e556916791?AccessKeyId=DFB1BA3CED7E7997D5B1&disposition=0&alloworigin=1,,ISSN: 2393-9028,ISSN,0.0,"A two-step copyright protection technique proposed for color images by makes use of secret sharing and discrete wavelet transform (DWT) methods. The procedureincludes two steps: the share image generation step and the watermark retrieval step. Inthe generation step, the proposed method principally converts the host image into theYCbCrcolor interplanetary and yields a different specimen plane from the color space.Next, the procedure extracts the types from the sample plane by means of the discretewavelet transform. Previously, the procedure adventures the traits and the watermark to yield aprincipal share image. In the recovery stage, an extended watermark is initially reinstated bymeans of the sorts of the suspicious image and the principal share image. Succeeding, themethodology decreases the added noise to acquire the recuperated watermark, which is thenconfirmed in contradiction of the original watermark to observe the copyright. Retrievedwatermark image is assessed by image quality index(IQI), root mean square error(RMSE), peaksignal to noise ratio(PSNR), entropy, accuracy and proved that proposed methodology improvesaccuracy of the retrieved watermark image.","copyright, protection, watermark, discrete wavelet transform, secret sharing.",,,,2018-07-01,,,
Dr Dammavalam Srinivasa Rao,"G.GOPI Dr . K. SRINIVASA REDDY , Dr CH.RAMESH BABU, Dr. D. SRINIVASA RAO",No,PERFORMANCE ASSESSMENT OF FUZZY AND NEURO FUZZY BASED ITERATIVE IMAGE FUSION OF MEDICAL IMAGES,Journal,JOURNAL OF THEORETICAL AND APPLIED INFORMATION TECHNOLOGY,No,No,"Volume 96, Issue 10, Pages 3061-3074, Publisher JATIT",2018.0,May,2017-18,http://www.jatit.org/volumes/ninetysix10.php,http://www.jatit.org/volumes/Vol96No10/26Vol96No10.pdf,ISSN: 1992-8645,JATIT,3.0,"Negotiation is back-and-forth communication designed to reach an agreement when two entities have some interests that are opposed. It is a basic means of getting what one wants from others. The purpose of this study is to incorporate the negotiation concept in an e-commerce platform in order to increase benefit at once for the seller and the buyer. In this paper, we will introduce a model of negotiation which allows the buyer to negotiate some product characteristics, including price. The proposed model uses game theory to find a compromise between the propositions of the seller and those ones of the buyer. The negotiation process is carried out automatically on the seller s side. In terms of quality and efficiency of this process, an experimental evaluation shows that the proposed model allows reaching a win-win deal with a reduced number of operations. Thus, the buyer stays in the same e-commerce website and therefore increases the sales of this latter.","Automated negotiation, Decision making, E-commerce, Equilibrium, Game theory",,,,2018-05-01,,,
Dr Dammavalam Srinivasa Rao,"D. Srinivasa Rao2,T. Ravi2 and G. Gopi 3,Ch. Ramesh Babu1*",No,Performance assessment of neuro fuzzy based image fusion of satellite images,Journal,International Journal of Advanced Technology and Engineering Exploration,No,No,"Volume 5, Issue 40, Pages 43-49 Publisher ACCENTS",2018.0,March,2018-19,https://www.accentsjournals.org/PaperDirectory/Journal/IJATEE/2018/3/1.pdf,https://www.accentsjournals.org/PaperDirectory/Journal/IJATEE/2018/3/1.pdf,ISSN (Online): 2394-7454,International Journal of Advanced Technology and Engineering Exploration,0.0,"Image fusion is a technique to converge multispectral (MS) and panchromatic (PAN) images in to a one fused image which is moderately supplementary helpful compared to input images taken for fusion. Image fusion is an important task to recover an image which delivers as much as evidence of the same body part at the similar time it also assistances to decrease the storing capability to a particular image. In this paper an assessment is completed among conventional image fusion methods; principal component analysis (PCA), discrete wavelet transform (DWT), IHS transform based fusion, Brovey transform based fusion, and the projected neuro fuzzy based iterative image fusion techniques. The proposed neuro fuzzy based iterative fusion method utilizes fuzzy inference system (FIS) prepared by determining fuzzy rules and membership functions precisely. Experimentations have been finished on different datasets of multimodal satellite images. The projected technique is perceivably and significant related with the other fusion approaches. For the assessment of the fused image obtained from various fusion techniques ten diverse measures is prepared and utilized of, namely image quality index (IQI) and mutual information measure (MIM) with probability density.","Image fusion, PCA, DWT, IHS, Brovey transform",,,,2018-03-01,,,
Dr Dammavalam Srinivasa Rao,D. Srinivasa Rao Ch Ramesh Babu,No,"Comparison of Discrete Wavelet Transform (DWT), Discrete Cosine Transform (DCT) and Stationary Wavelet Transform (SWT) based Satellite Image Fusion Techniques",Journal,International Journal of Current Research and Review,No,No,,2017.0,June,2016-17,http://ijcrr.com/uploads/1275_pdf.pdf,http://dx.doi.org/10.19101/IJATEE.2018.539005,ISSN: 0975-5241,IJCRR,5.0,"The aim of the image fusion is to combining evidence from different images; Multispectral (MS) and Panchromatic (PAN) images acquired from different sensors of the same interpretation in directive to convey enhancedspectral and spatial information as well. In this paper discrete wavelet transform (DWT) and two specializations of discrete cosine transform (DCT); i)DCT varianc,ii) consistency verification with DCT variance fusion techniques are implemented and compared with the proposed methodology for image fusion named stationary wavelet transform (SWT). Fused results obtained from these fusion approaches are assessed through typical evaluation parameters. Fused outcomes obtained from proposed SWT outperforms DWT and two flavors of DCT based fusion approaches. The shift invariant property of SWT produces improved spectral and spatial evidence in the fused image followed by fused grades accomplished from DCT based fusion approaches. The discrete cosine transforms (DCT) grounded approaches of image fusion are further proper and performance oriented in real time applicationsby means of DCT founded principles of static images. Conclusion through this work is a glowing systematic practice for fusion of multi-focus images based on SWT is presented and proved that SWT based fused results surpass other fusion approaches."," DWT, DCT, SWT, Variance, Consistency verification",,,,2017-05-30,,,
Dr Dammavalam Srinivasa Rao,"MHM Krishna Prasad D Srinivasa Rao, Ch Ramesh Babu,M.Seetha",No,AccuracyAssessment of Supervised and Unsupervised Image Classification of Fused Satellite Images,Journal,International Journal of Advanced Research in Computer Science,No,No,"Volume 8, Issue 1, Pages 169-173",2017.0,February,2016-17,http://www.ijarcs.info/index.php/Ijarcs/issue/view/60,http://www.ijarcs.info/index.php/Ijarcs/article/view/2876,ISSN No. 0976-5697,,0.0,,,,,,2017-02-01,,,
Dr Dammavalam Srinivasa Rao,Dammavalam SRINIVASA RAO,No,Satellite image fusion using fuzzy logic,Journal,"Acta Univ. Sapientiae, Informatica",Yes,Yes,JOURNAL OF THEORETICAL AND APPLIED INFORMATION TECHNOLOGY,2016.0,December,2016-17,https://sciendo.com/article/10.1515/ausi-2016-0011,https://doi.org/10.1515/ausi-2016-0011,ISSN: 2066-7760,Sciendo,5.0,"Image fusion is a method of combining the Multispectral (MS)and Panchromatic (PAN) images into one image contains more informa-tion than any of the input. Image fusion aim is to decrease unknownand weaken common data in the fused output image at the same timeimproving necessary information. Fused images are helpful in variousapplications like, remote sensing, computer vision, biometrics, changedetection, image analysis and image classification. Conventional fusionmethods are having some side effects like assertive spatial informationand uncertain color information is an usually the problem in PCA andwavelet transform based fusion is a computationally in depth process. Inorder to overcome these side effects and to propose alternative soft com-puting fusion approach for conventional fusion methods we exploit imagefusion using fuzzy logic technique to fuse two source images obtained fromdifferent sensors to enhance both spectral and spatial information. Theproposed work here further compared with two common fusion methodslike, principal component analysis (PCA) and wavelet transform alongwith quality assessment metrics","Fusion, MS, PAN, Fuzzy Logic, PCA, Wavelet Transform",,,,2016-12-01,,,
Dr Dammavalam Srinivasa Rao,"D. Srinivasa Rao P.China Yalamanda Rao, G.Minni, Sayeed Yasin",No,Performance Evaluation of Fuzzy and Neuro Fuzzy Based Image Fusion,Journal,International Journal of Innovative Research in Computer and Communication Engineering,No,No,"Volume 4, Issue 10, Pages 18882-18888",2016.0,October,2016-17,http://ijircce.com/get-current-issue.php?key=ODA=,DOI: 10.15680/IJIRCCE.2016. 0410164,ISSN(Online): 2320-9801,Ijircce,0.0,,,,,,2016-10-01,,,
Dr Dammavalam Srinivasa Rao,"Shiva Kumar Dasanthu, Dammavalam Srinivasa Rao",Yes,Securing Data and Revocation of Users in Cloud Computing,Journal,International Journal of Innovative Research in Computer and Communication Engineering,No,No,"Vol. 4, Issue 9, September 2016",2016.0,September,2016-17,http://ijircce.com/admin/main/storage/app/pdf/D76Tq8H3sxJMRAFOOenO7zVj04v8wPjZfSa1Cf4O.pdf,DOI: 10.15680/IJIRCCE.2016. 0409151,ISSN(Online): 2320-9801,Ijircce,0.0,"Cloud computing, a technology that helps in storing, manipulating and configuring data and applications over the internet. It eliminates the physical infrastructure of resources, which makes it a popular. Sundry schemes predicated on the attribute-predicated encryption have been suggested for providing security in cloud storage systems. However, most work fixates on the information contents secrecy and the access control, while less care is paid to the privilege control and the individuality secrecy. In this paper, we present a semi incognito privilege control scheme AnonyControl to address not only the information secrecy, but adscititiously the utilizer individuality secrecy in subsisting access control schemes. AnonyControl decentralizes the central ascendancy to inhibit the individuality leakage and thus achieves semi anonymity. Besides, it supplementally establishes the file access control with the privilege control. There the privileges of all operations on the cloud information. This can be managed in a fragile manner. Finally, we introduce the AnonyControl-F, which plenarily averts the individuality leakage and achieve the full anonymity. Our aegis analysis shows that both AnonyControl and AnonyControl-F are secured under the decisional bilinear DiffieHellman posit, and our functioning evaluation exhibits the feasibility of our schemes. We have also implemented revocation of users which plays a vital role in cloud computing organisations.","Cipher textpolicy, attribute based encryption, Anony Scheme, Privilege Tree, Key Exchange.",,,,2016-09-01,,,
Dr Dammavalam Srinivasa Rao,"Srinivasa Rao Dammavalam, Seetha Maddala, MHM Prasad",No,Quality Assessment of Pixel-Level ImageFusion Using Fuzzy Logic,Journal,International journal onsoft computing,No,No,"International Journal on Soft Computing ( IJSC ) Vol.3, No.1, February 2012",2012.0,February,2011-12,https://arxiv.org/ftp/arxiv/papers/1311/1311.1223.pdf,DOI : 10.5121/ijsc.2012.3102,ISSN: 2229-7103,International Journal on Soft Computing,0.0,"Image fusion is to reduce uncertainty and minimize redundancy in the output while maximizing relevant information from two or more images of a scene into a single composite image that is more informative and is more suitable for visual perception or processing tasks like medical imaging, remote sensing,","image fusion, wavelet transform, genetic algorithm, fuzzy logic, image quality index, mutual information measure, fusion factor, fusion symmetry, fusion index, entropy.",,,,2012-02-01,,,
Dr Dammavalam Srinivasa Rao,"Dammavalam S.R., Maddala S., Krishna Prasad M.H.M.",No,Iterative image fusion using fuzzy logic with applications,Conference,Advances in Computing and Information Technology,Yes,Yes,"Advances in Intelligent Systems and Computing, vol 177. Pages 145-152, Publisher Springer, Berlin, Heidelberg",2012.0,July,2011-12,https://link.springer.com/chapter/10.1007/978-3-642-31552-7_16,https://doi.org/10.1007/978-3-642-31552-7_16,ISBN: 978-3-642-31552-7,Springer link,1.0,"Image fusion is the process of reducing uncertainty and minimizing redundancy while extracting all the useful information from the source images. Image fusion process is required for different applications like medical imaging, remote sensing, machine vision, biometrics and military applications. In this paper, an iterative fuzzy logic approach utilized to fuse images from different sensors, in order to enhance visualization. The proposed workfurther explores comparison between fuzzy based image fusion and iterative fuzzy fusion technique along with quality evaluation indices for image fusion like image quality index, mutual information measure, root mean square error, peak signal to noise ratio, entropy and correlation coefficient. Experimental results obtained from fusion process prove that the use of the proposed iterative fuzzy fusion can efficiently preserve the spectral information while improving the spatial resolution of the remote sensing images and medical imaging.","image fusion,panchromatic,multispectral,fuzzy logic,image quality index,mutual information measure,entropy,correlation coefficient",,,,2012-07-01,,,
Dr Dammavalam Srinivasa Rao,"Dammavalam Srinivasa Rao, M Seetha, Munaga Hazarath",No,Iterative image fusion using neuro fuzzy logic and applications,Conference,"International Conference on Machine Vision and Image Processing (MVIP), MVIP 2012",Yes,Yes,"International Conference on Machine Vision and Image Processing (MVIP), Pages 121-124, Coimbatore, India, Publisher: IEEE",2012.0,December,2012-13,https://ieeexplore.ieee.org/abstract/document/6428775,DOI: 10.1109/MVIP.2012.6428775,ISBN:978-1-4673-2319-2,IEEE,7.0,"Image fusion to reduce uncertainty and redundancy while extracting all the useful information from the source images. Image fusion process is required for different applications, medical imaging, remote sensing, machine vision, biometrics and military applications. In this paper, an iterative neuro fuzzy logic approach utilized to fuse images from different sensors, in order to enhance visualization. The proposed work further explores comparison between neuro fuzzy based image fusion and iterative neuro fuzzy fusion technique along with quality evaluation metrics for image fusion like image quality index, mutual information measure, fusion factor, fusion symmetry, fusion index, root mean square error, peak signal to noise ratio, entropy, correlation coefficient and spatial frequency. Experimental results obtained from proposed method prove that the use of the iterative neuro fuzzy fusion can efficiently preserve the spectral information while improving the spatial resolution of the remote sensing and medical imaging.","Image fusion,Fuzzy logic,Iterative methods,Indexes,Biomedical imaging,PSNR,Mutual information",,,,2012-12-14,,,
Dr Dammavalam Srinivasa Rao,"Srinivasa Rao D ,Seetha M, Krishna Prasad MHM",No,Comparison of fuzzy and neuro fuzzy image fusion techniques and its applications,Journal,International Journal of Computer Applications,No,No,"International Journal of Computer Applications, Volume 43 No.20, April 2012",2012.0,April,2011-12,https://arxiv.org/ftp/arxiv/papers/1212/1212.0318.pdf,https://arxiv.org/ftp/arxiv/papers/1212/1212.0318.pdf,ISSN: (0975  8887),International Journal of Computer Applications,26.0,"Image fusion is the process of integrating multiple images of the same scene into a single fused image to reduce uncertainty and minimizing redundancy while extracting all the useful information from the source images. Image fusion process is required for different applications like medical imaging, remote sensing, medical imaging, machine vision, biometrics and military applications where quality and critical information is required. In this paper, image fusion using fuzzy and neuro fuzzy logic approaches utilized to fuse images from different sensors, in order to enhance visualization. The proposed work further explores comparison between fuzzy based image fusion and neuro fuzzy fusion technique along with quality evaluation indices for image fusion like image quality index, mutual information measure, fusion factor, fusion symmetry, fusion index, root mean square error, peak signal to noise ratio, entropy, correlation coefficient and spatial frequency. Experimental results obtained from fusion process prove that the use of the neuro fuzzy based image fusion approach shows better performance in first two test cases while in the third test case fuzzy based image fusion technique gives better results.","fuzzy logic, neuro fuzzy logic, image quality index, mutual information measure, fusion factor, fusion symmetry, fusion index, , root mean square error, peak signal to noise ratio, spatial frequency.",,,,2012-04-01,,,
Dr Dammavalam Srinivasa Rao,"Srinivasa Rao Dammavalam, Seetha Maddala, M.H.M. Krishna Prasad",No,Quality Assessment of Pixel-Level Image Fusion Using Fuzzy Logic,Journal,International Journal on Soft Computing,No,No,"IJSC, Vol.3, No.1, February 2012",2012.0,February,2011-12,https://arxiv.org/ftp/arxiv/papers/1311/1311.1223.pdf,DOI : 10.5121/ijsc.2012.3102,ISSN 2231-2307,International Journal on Soft Computing,38.0,"Image fusion is to reduce uncertainty and minimize redundancy in the output while maximizing relevant information from two or more images of a scene into a single composite image that is more informative and is more suitable for visual perception or processing tasks like medical imaging, remote sensing, concealed weapon detection, weather forecasting, biometrics etc. Image fusion combines registered images to produce a high quality fused image with spatial and spectral information. The fused image with more information will improve the performance of image analysis algorithms used in different applications. In this paper, we proposed a fuzzy logic method to fuse images from different sensors, in order to enhance the quality and compared proposed method with two other methods i.e. image fusion using wavelet transform and weighted average discrete wavelet transform based image fusion using genetic algorithm (here onwards abbreviated as GA) along with quality evaluation parameters image quality index (IQI), mutual information measure ( MIM), root mean square error (RMSE), peak signal to noise ratio (PSNR), fusion factor (FF), fusion symmetry (FS) and fusion index (FI) and entropy. The results obtained from proposed fuzzy based image fusion approach improves quality of fused image as compared to earlier reported methods, wavelet transform based image fusion and weighted average discrete wavelet transform based image fusion using genetic algorithm.","image fusion, wavelet transform, genetic algorithm, fuzzy logic, image quality index, mutual information measure, fusion factor, fusion symmetry, fusion index, entropy.",,,,2012-02-01,,,
Dr Dammavalam Srinivasa Rao,"Srinivasa Rao Dammavalam , Seetha Maddala , and M.H.M. Krishna Prasad",No,Quality evaluation measures of pixel-level image fusion using fuzzy logic,Conference,"SEMCCO 2011: Swarm, Evolutionary, and Memetic Computing",Yes,Yes,"Lecture Notes in Computer Science, vol 7076. Springer, Berlin, Heidelberg, Pages 485-493",2011.0,December,2011-12,https://link.springer.com/chapter/10.1007/978-3-642-27172-4_59,DOIhttps://doi.org/10.1007/978-3-642-27172-4_59,ISBN: 978-3-642-27172-4,Springer link,10.0,"Image fusion is a technique to combine the registered images to increase the spatial resolution of acquired low detail multi-sensor images and preserving their spectral information. In fusing panchromatic and multispectral images, the objective is to reduce uncertainty and minimize redundancy in the output while maximizing relevant information. Different fusion methods provide different results for different applications, medical imaging, automatic target guidance system, remote sensing, machine vision, automatic change detection, and biometrics. In this paper, we utilize a fuzzy logic approach to fuse images from different sensors, in order to enhance visualization. The work here further explores the comparison between image fusion using wavelet transform and fuzzy logic approach along with performance/quality evaluation measures like image quality index, entropy, mutual information measure, root mean square error, peak signal to noise ratio, fusion factor, fusion symmetry and fusion index. Experimental results prove that the use of the proposed method can efficiently preserve the spectral information while improving the spatial resolution of the remote sensing images.","image fusion,panchromatic,multispectral,wavelet transform,fuzzy logic,mutual information measure,image quality,index,fusion factor,fusion symmetry,fusion index,entropy",,,,2011-12-01,,,
Dr Dammavalam Srinivasa Rao,"Rao, D. S.; Seetha, M.; Prasad, M. H. M. Krishna",No,Novel Approach for Iterative Image Fusion using Fuzzy and Neuro Fuzzy Logic.,Journal,International Journal of Geoinformatics,Yes,No,"June 2015, Vol. 11 Issue 2, p29-39. 11p.",2015.0,June,2014-15,https://journals.sfu.ca/ijg/index.php/journal/article/view/616,DOI: https://doi.org/10.52939/ijg.v11i2.616,ISSN: 1686-6576,Iternational journel of Geoinformatics,2.0,"Image fusion may be defined as an approach of merging two or more input images in to a single fused image which is comparatively more informative than all the input images. Image fusion aims to reduce the redundancy and uncertainty in the output and aims to maximize application related significant information. Fused images are used in diverse applications such as remote sensing, machine vision, biometrics, medical imaging and military domain. In this paper, we carry out iterative image fusion through fuzzy logic and neuro fuzzy logic techniques by fusing satellite images obtained from two or more image sensors to improve visualization capability. We also compare the proposed iterative image fusion approach based on fuzzy logic and neuro fuzzy logic with two more approaches like Principal component analysis (PCA) based fusion and the wavelet transform based image fusion. Fused images obtained from iterative image fusion using fuzzy and neuro fuzzy and other comparative methods are assessed through typical quality evaluation metrics. The proposed iterative fusion based on fuzzy logic approach divulges better values in some metrics whereas iterative image fusion based on neuro fuzzy logic technique provides better values in other metrics. Due to the potentiality of the fuzzy logic and neuro fuzzy logic. The overall experimental results generated from suggested approach substantiate that the utilization of the iterative image fusion using fuzzy logic and neuro fuzzy logic techniques would efficiently improve the quality grade of the fused image with concurrent confinement of spectral and spatial information.","Image fusion, fuzzy logic, neuro fuzzy logic, redundancy reduction, uncertainty reduction, application-related information, remote sensing, machine vision, biometrics, medical imaging, military domain, iterative fusion, satellite images, visualization capability, Principal component analysis (PCA), wavelet transform, quality evaluation metrics, spectral information, spatial information, experimental results.",,,,2015-06-01,,,
