nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication
Dr Dammavalam Srinivasa Rao,"D. Srinivasa Rao, Ch. Ramesh Babu, Nagendra Kumar, N. Rajasekhar, T. Ravi",No,Medical Image Fusion Using Transform Based Fusion Techniques,Journal,International Journal of Recent Technology and Engineering (IJRTE),yes,No,"Volume 8, Issue 2, Pages 309-317, Publisher Blue Eyes Intelligence Engineering & Sciences Publication",2019,July,2019-20,https://www.ijrte.org/download/volume-8-issue-2/,https://www.ijrte.org/wp-content/uploads/papers/v8i2/A9180058119.pdf,"ISSN: 2277-3878,",IJRTE,2,NA,NA,,,,2019-07-01
Dr Dammavalam Srinivasa Rao,"Abhitej Vennapu D. Srinivasa Rao , Ch. Ramesh Babu , Saranya Garapati, Rishitha Chalasani , Manisha Mudupuri",Yes,Breast Cancer Detection Using Artificial Neural Networks,Journal,"International Journal of Engineering, Applied and Management Sciences Paradigms (IJEAM)",No,No,"Volume 54, Issue 2, Pages 280-285, Publisher IJEAM",2019,May,2019-20,http://www.ijeam.com/54_2.php,http://www.ijeam.com/Published%20Paper/Volume%2054/Issue%202/40.pdf,ISSN: 2320-6608,IJEAM,0,NA,NA,,,,2019-05-01
Dr Dammavalam Srinivasa Rao,"A.Thulasi Dr. D. S. Rao, B.Keerthi, P.Kiranmayi",Yes,A Novel Method for Brain Tumor Detection and Extraction,Journal,INTERNATIONAL JOURNAL OF RESEARCH IN ELECTRONICS AND COMPUTER ENGINEERING,No,No,"Volume 6, Issue 2, Pages 908-910",2018,June,2017-18,http://www.i2or-ijrece.com/vol.-6-issue-2--version-5-.html,http://nebula.wsimg.com/c6c65df70d8a5faf455cd725a0980467?AccessKeyId=DFB1BA3CED7E7997D5B1&disposition=0&alloworigin=1,,IJRECE,0,NA,NA,,,,2018-06-01
Dr Dammavalam Srinivasa Rao,"B.VenkateswaraRao3 Dr .D. SrinivasaRao1,Dr .Ch.Ramesh Babu2",No,A Two Step Copyright Protection Scheme for Colour Images,Journal,INTERNATIONAL JOURNAL OF RESEARCH IN ELECTRONICS AND COMPUTER ENGINEERING,No,No,"Volume 6, Issue 2, Pages 762-765",2018,June,2017-18,http://nebula.wsimg.com/7feccafb5652f51baccef0e556916791?AccessKeyId=DFB1BA3CED7E7997D5B1&disposition=0&alloworigin=1,,ISSN: 2393-9028,ISSN,0,"A two-step copyright protection technique proposed for color images by makes use of secret sharing and discrete wavelet transform (DWT) methods. The procedureincludes two steps: the share image generation step and the watermark retrieval step. Inthe generation step, the proposed method principally converts the host image into theYCbCrcolor interplanetary and yields a different specimen plane from the color space.Next, the procedure extracts the types from the sample plane by means of the discretewavelet transform. Previously, the procedure adventures the traits and the watermark to yield aprincipal share image. In the recovery stage, an extended watermark is initially reinstated bymeans of the sorts of the suspicious image and the principal share image. Succeeding, themethodology decreases the added noise to acquire the recuperated watermark, which is thenconfirmed in contradiction of the original watermark to observe the copyright. Retrievedwatermark image is assessed by image quality index(IQI), root mean square error(RMSE), peaksignal to noise ratio(PSNR), entropy, accuracy and proved that proposed methodology improvesaccuracy of the retrieved watermark image.","copyright, protection, watermark, discrete wavelet transform, secret sharing.",,,,2018-07-01
Dr Dammavalam Srinivasa Rao,"G.GOPI Dr . K. SRINIVASA REDDY , Dr CH.RAMESH BABU, Dr. D. SRINIVASA RAO",No,PERFORMANCE ASSESSMENT OF FUZZY AND NEURO FUZZY BASED ITERATIVE IMAGE FUSION OF MEDICAL IMAGES,Journal,JOURNAL OF THEORETICAL AND APPLIED INFORMATION TECHNOLOGY,No,No,"Volume 96, Issue 10, Pages 3061-3074, Publisher JATIT",2018,May,2017-18,http://www.jatit.org/volumes/ninetysix10.php,http://www.jatit.org/volumes/Vol96No10/26Vol96No10.pdf,ISSN: 1992-8645,JATIT,3,"Negotiation is back-and-forth communication designed to reach an agreement when two entities have some interests that are opposed. It is a basic means of getting what one wants from others. The purpose of this study is to incorporate the negotiation concept in an e-commerce platform in order to increase benefit at once for the seller and the buyer. In this paper, we will introduce a model of negotiation which allows the buyer to negotiate some product characteristics, including price. The proposed model uses game theory to find a compromise between the propositions of the seller and those ones of the buyer. The negotiation process is carried out automatically on the seller s side. In terms of quality and efficiency of this process, an experimental evaluation shows that the proposed model allows reaching a win-win deal with a reduced number of operations. Thus, the buyer stays in the same e-commerce website and therefore increases the sales of this latter.","Automated negotiation, Decision making, E-commerce, Equilibrium, Game theory",,,,2018-05-01
Dr Dammavalam Srinivasa Rao,"D. Srinivasa Rao2,T. Ravi2 and G. Gopi 3,Ch. Ramesh Babu1*",No,Performance assessment of neuro fuzzy based image fusion of satellite images,Journal,International Journal of Advanced Technology and Engineering Exploration,No,No,"Volume 5, Issue 40, Pages 43-49 Publisher ACCENTS",2018,March,2018-19,https://www.accentsjournals.org/PaperDirectory/Journal/IJATEE/2018/3/1.pdf,https://www.accentsjournals.org/PaperDirectory/Journal/IJATEE/2018/3/1.pdf,ISSN (Online): 2394-7454,International Journal of Advanced Technology and Engineering Exploration,0,"Image fusion is a technique to converge multispectral (MS) and panchromatic (PAN) images in to a one fused image which is moderately supplementary helpful compared to input images taken for fusion. Image fusion is an important task to recover an image which delivers as much as evidence of the same body part at the similar time it also assistances to decrease the storing capability to a particular image. In this paper an assessment is completed among conventional image fusion methods; principal component analysis (PCA), discrete wavelet transform (DWT), IHS transform based fusion, Brovey transform based fusion, and the projected neuro fuzzy based iterative image fusion techniques. The proposed neuro fuzzy based iterative fusion method utilizes fuzzy inference system (FIS) prepared by determining fuzzy rules and membership functions precisely. Experimentations have been finished on different datasets of multimodal satellite images. The projected technique is perceivably and significant related with the other fusion approaches. For the assessment of the fused image obtained from various fusion techniques ten diverse measures is prepared and utilized of, namely image quality index (IQI) and mutual information measure (MIM) with probability density.","Image fusion, PCA, DWT, IHS, Brovey transform",,,,2018-03-01
Dr Dammavalam Srinivasa Rao,D. Srinivasa Rao Ch Ramesh Babu,No,"Comparison of Discrete Wavelet Transform (DWT), Discrete Cosine Transform (DCT) and Stationary Wavelet Transform (SWT) based Satellite Image Fusion Techniques",Journal,International Journal of Current Research and Review,No,No,,2017,June,2016-17,http://ijcrr.com/uploads/1275_pdf.pdf,http://dx.doi.org/10.19101/IJATEE.2018.539005,ISSN: 0975-5241,IJCRR,5,"The aim of the image fusion is to combining evidence from different images; Multispectral (MS) and Panchromatic (PAN) images acquired from different sensors of the same interpretation in directive to convey enhancedspectral and spatial information as well. In this paper discrete wavelet transform (DWT) and two specializations of discrete cosine transform (DCT); i)DCT varianc,ii) consistency verification with DCT variance fusion techniques are implemented and compared with the proposed methodology for image fusion named stationary wavelet transform (SWT). Fused results obtained from these fusion approaches are assessed through typical evaluation parameters. Fused outcomes obtained from proposed SWT outperforms DWT and two flavors of DCT based fusion approaches. The shift invariant property of SWT produces improved spectral and spatial evidence in the fused image followed by fused grades accomplished from DCT based fusion approaches. The discrete cosine transforms (DCT) grounded approaches of image fusion are further proper and performance oriented in real time applicationsby means of DCT founded principles of static images. Conclusion through this work is a glowing systematic practice for fusion of multi-focus images based on SWT is presented and proved that SWT based fused results surpass other fusion approaches."," DWT, DCT, SWT, Variance, Consistency verification",,,,2017-05-30
Dr Dammavalam Srinivasa Rao,"MHM Krishna Prasad D Srinivasa Rao, Ch Ramesh Babu,M.Seetha",No,AccuracyAssessment of Supervised and Unsupervised Image Classification of Fused Satellite Images,Journal,International Journal of Advanced Research in Computer Science,No,No,"Volume 8, Issue 1, Pages 169-173",2017,February,2016-17,http://www.ijarcs.info/index.php/Ijarcs/issue/view/60,http://www.ijarcs.info/index.php/Ijarcs/article/view/2876,ISSN No. 0976-5697,NA,0,NA,NA,,,,2017-02-01
Dr Dammavalam Srinivasa Rao,Dammavalam SRINIVASA RAO,No,Satellite image fusion using fuzzy logic,Journal,"Acta Univ. Sapientiae, Informatica",Yes,Yes,JOURNAL OF THEORETICAL AND APPLIED INFORMATION TECHNOLOGY,2016,December,2016-17,https://sciendo.com/article/10.1515/ausi-2016-0011,https://doi.org/10.1515/ausi-2016-0011,ISSN: 2066-7760,Sciendo,5,"Image fusion is a method of combining the Multispectral (MS)and Panchromatic (PAN) images into one image contains more informa-tion than any of the input. Image fusion aim is to decrease unknownand weaken common data in the fused output image at the same timeimproving necessary information. Fused images are helpful in variousapplications like, remote sensing, computer vision, biometrics, changedetection, image analysis and image classification. Conventional fusionmethods are having some side effects like assertive spatial informationand uncertain color information is an usually the problem in PCA andwavelet transform based fusion is a computationally in depth process. Inorder to overcome these side effects and to propose alternative soft com-puting fusion approach for conventional fusion methods we exploit imagefusion using fuzzy logic technique to fuse two source images obtained fromdifferent sensors to enhance both spectral and spatial information. Theproposed work here further compared with two common fusion methodslike, principal component analysis (PCA) and wavelet transform alongwith quality assessment metrics","Fusion, MS, PAN, Fuzzy Logic, PCA, Wavelet Transform",,,,2016-12-01
Dr Dammavalam Srinivasa Rao,"D. Srinivasa Rao P.China Yalamanda Rao, G.Minni, Sayeed Yasin",No,Performance Evaluation of Fuzzy and Neuro Fuzzy Based Image Fusion,Journal,International Journal of Innovative Research in Computer and Communication Engineering,No,No,"Volume 4, Issue 10, Pages 18882-18888",2016,October,2016-17,http://ijircce.com/get-current-issue.php?key=ODA=,DOI: 10.15680/IJIRCCE.2016. 0410164,ISSN(Online): 2320-9801,Ijircce,0,NA,NA,,,,2016-10-01
Dr Dammavalam Srinivasa Rao,"Shiva Kumar Dasanthu, Dammavalam Srinivasa Rao",Yes,Securing Data and Revocation of Users in Cloud Computing,Journal,International Journal of Innovative Research in Computer and Communication Engineering,No,No,"Vol. 4, Issue 9, September 2016",2016,September,2016-17,http://ijircce.com/admin/main/storage/app/pdf/D76Tq8H3sxJMRAFOOenO7zVj04v8wPjZfSa1Cf4O.pdf,DOI: 10.15680/IJIRCCE.2016. 0409151,ISSN(Online): 2320-9801,Ijircce,0,"Cloud computing, a technology that helps in storing, manipulating and configuring data and applications over the internet. It eliminates the physical infrastructure of resources, which makes it a popular. Sundry schemes predicated on the attribute-predicated encryption have been suggested for providing security in cloud storage systems. However, most work fixates on the information contents secrecy and the access control, while less care is paid to the privilege control and the individuality secrecy. In this paper, we present a semi incognito privilege control scheme AnonyControl to address not only the information secrecy, but adscititiously the utilizer individuality secrecy in subsisting access control schemes. AnonyControl decentralizes the central ascendancy to inhibit the individuality leakage and thus achieves semi anonymity. Besides, it supplementally establishes the file access control with the privilege control. There the privileges of all operations on the cloud information. This can be managed in a fragile manner. Finally, we introduce the AnonyControl-F, which plenarily averts the individuality leakage and achieve the full anonymity. Our aegis analysis shows that both AnonyControl and AnonyControl-F are secured under the decisional bilinear Diffie–Hellman posit, and our functioning evaluation exhibits the feasibility of our schemes. We have also implemented revocation of users which plays a vital role in cloud computing organisations.","Cipher text–policy, attribute based encryption, Anony Scheme, Privilege Tree, Key Exchange.",,,,2016-09-01
Dr Dammavalam Srinivasa Rao,"Srinivasa Rao Dammavalam, Seetha Maddala, MHM Prasad",No,Quality Assessment of Pixel-Level ImageFusion Using Fuzzy Logic,Journal,International journal onsoft computing,No,No,"International Journal on Soft Computing ( IJSC ) Vol.3, No.1, February 2012",2012,February,2011-12,https://arxiv.org/ftp/arxiv/papers/1311/1311.1223.pdf,DOI : 10.5121/ijsc.2012.3102,ISSN: 2229-7103,International Journal on Soft Computing,0,"Image fusion is to reduce uncertainty and minimize redundancy in the output while maximizing relevant information from two or more images of a scene into a single composite image that is more informative and is more suitable for visual perception or processing tasks like medical imaging, remote sensing,","image fusion, wavelet transform, genetic algorithm, fuzzy logic, image quality index, mutual information measure, fusion factor, fusion symmetry, fusion index, entropy.",,,,2012-02-01
Dr Dammavalam Srinivasa Rao,"Dammavalam S.R., Maddala S., Krishna Prasad M.H.M.",No,Iterative image fusion using fuzzy logic with applications,Conference,Advances in Computing and Information Technology,Yes,Yes,"Advances in Intelligent Systems and Computing, vol 177. Pages 145-152, Publisher Springer, Berlin, Heidelberg",2012,July,2011-12,https://link.springer.com/chapter/10.1007/978-3-642-31552-7_16,https://doi.org/10.1007/978-3-642-31552-7_16,ISBN: 978-3-642-31552-7,Springer link,1,"Image fusion is the process of reducing uncertainty and minimizing redundancy while extracting all the useful information from the source images. Image fusion process is required for different applications like medical imaging, remote sensing, machine vision, biometrics and military applications. In this paper, an iterative fuzzy logic approach utilized to fuse images from different sensors, in order to enhance visualization. The proposed workfurther explores comparison between fuzzy based image fusion and iterative fuzzy fusion technique along with quality evaluation indices for image fusion like image quality index, mutual information measure, root mean square error, peak signal to noise ratio, entropy and correlation coefficient. Experimental results obtained from fusion process prove that the use of the proposed iterative fuzzy fusion can efficiently preserve the spectral information while improving the spatial resolution of the remote sensing images and medical imaging.","image fusion,panchromatic,multispectral,fuzzy logic,image quality index,mutual information measure,entropy,correlation coefficient",,,,2012-07-01
Dr Dammavalam Srinivasa Rao,"Dammavalam Srinivasa Rao, M Seetha, Munaga Hazarath",No,Iterative image fusion using neuro fuzzy logic and applications,Conference,"International Conference on Machine Vision and Image Processing (MVIP), MVIP 2012",Yes,Yes,"International Conference on Machine Vision and Image Processing (MVIP), Pages 121-124, Coimbatore, India, Publisher: IEEE",2012,December,2012-13,https://ieeexplore.ieee.org/abstract/document/6428775,DOI: 10.1109/MVIP.2012.6428775,ISBN:978-1-4673-2319-2,IEEE,7,"Image fusion to reduce uncertainty and redundancy while extracting all the useful information from the source images. Image fusion process is required for different applications, medical imaging, remote sensing, machine vision, biometrics and military applications. In this paper, an iterative neuro fuzzy logic approach utilized to fuse images from different sensors, in order to enhance visualization. The proposed work further explores comparison between neuro fuzzy based image fusion and iterative neuro fuzzy fusion technique along with quality evaluation metrics for image fusion like image quality index, mutual information measure, fusion factor, fusion symmetry, fusion index, root mean square error, peak signal to noise ratio, entropy, correlation coefficient and spatial frequency. Experimental results obtained from proposed method prove that the use of the iterative neuro fuzzy fusion can efficiently preserve the spectral information while improving the spatial resolution of the remote sensing and medical imaging.","Image fusion,Fuzzy logic,Iterative methods,Indexes,Biomedical imaging,PSNR,Mutual information",,,,2012-12-14
Dr Dammavalam Srinivasa Rao,"Srinivasa Rao D ,Seetha M, Krishna Prasad MHM",No,Comparison of fuzzy and neuro fuzzy image fusion techniques and its applications,Journal,International Journal of Computer Applications,No,No,"International Journal of Computer Applications, Volume 43– No.20, April 2012",2012,April,2011-12,https://arxiv.org/ftp/arxiv/papers/1212/1212.0318.pdf,https://arxiv.org/ftp/arxiv/papers/1212/1212.0318.pdf,ISSN: (0975 – 8887),International Journal of Computer Applications,26,"Image fusion is the process of integrating multiple images of the same scene into a single fused image to reduce uncertainty and minimizing redundancy while extracting all the useful information from the source images. Image fusion process is required for different applications like medical imaging, remote sensing, medical imaging, machine vision, biometrics and military applications where quality and critical information is required. In this paper, image fusion using fuzzy and neuro fuzzy logic approaches utilized to fuse images from different sensors, in order to enhance visualization. The proposed work further explores comparison between fuzzy based image fusion and neuro fuzzy fusion technique along with quality evaluation indices for image fusion like image quality index, mutual information measure, fusion factor, fusion symmetry, fusion index, root mean square error, peak signal to noise ratio, entropy, correlation coefficient and spatial frequency. Experimental results obtained from fusion process prove that the use of the neuro fuzzy based image fusion approach shows better performance in first two test cases while in the third test case fuzzy based image fusion technique gives better results.","fuzzy logic, neuro fuzzy logic, image quality index, mutual information measure, fusion factor, fusion symmetry, fusion index, , root mean square error, peak signal to noise ratio, spatial frequency.",,,,2012-04-01
Dr Dammavalam Srinivasa Rao,"Srinivasa Rao Dammavalam, Seetha Maddala, M.H.M. Krishna Prasad",No,Quality Assessment of Pixel-Level Image Fusion Using Fuzzy Logic,Journal,International Journal on Soft Computing,No,No,"IJSC, Vol.3, No.1, February 2012",2012,February,2011-12,https://arxiv.org/ftp/arxiv/papers/1311/1311.1223.pdf,DOI : 10.5121/ijsc.2012.3102,ISSN 2231-2307,International Journal on Soft Computing,38,"Image fusion is to reduce uncertainty and minimize redundancy in the output while maximizing relevant information from two or more images of a scene into a single composite image that is more informative and is more suitable for visual perception or processing tasks like medical imaging, remote sensing, concealed weapon detection, weather forecasting, biometrics etc. Image fusion combines registered images to produce a high quality fused image with spatial and spectral information. The fused image with more information will improve the performance of image analysis algorithms used in different applications. In this paper, we proposed a fuzzy logic method to fuse images from different sensors, in order to enhance the quality and compared proposed method with two other methods i.e. image fusion using wavelet transform and weighted average discrete wavelet transform based image fusion using genetic algorithm (here onwards abbreviated as GA) along with quality evaluation parameters image quality index (IQI), mutual information measure ( MIM), root mean square error (RMSE), peak signal to noise ratio (PSNR), fusion factor (FF), fusion symmetry (FS) and fusion index (FI) and entropy. The results obtained from proposed fuzzy based image fusion approach improves quality of fused image as compared to earlier reported methods, wavelet transform based image fusion and weighted average discrete wavelet transform based image fusion using genetic algorithm.","image fusion, wavelet transform, genetic algorithm, fuzzy logic, image quality index, mutual information measure, fusion factor, fusion symmetry, fusion index, entropy.",,,,2012-02-01
Dr Dammavalam Srinivasa Rao,"Srinivasa Rao Dammavalam , Seetha Maddala , and M.H.M. Krishna Prasad",No,Quality evaluation measures of pixel-level image fusion using fuzzy logic,Conference,"SEMCCO 2011: Swarm, Evolutionary, and Memetic Computing",Yes,Yes,"Lecture Notes in Computer Science, vol 7076. Springer, Berlin, Heidelberg, Pages 485-493",2011,December,2011-12,https://link.springer.com/chapter/10.1007/978-3-642-27172-4_59,DOIhttps://doi.org/10.1007/978-3-642-27172-4_59,ISBN: 978-3-642-27172-4,Springer link,10,"Image fusion is a technique to combine the registered images to increase the spatial resolution of acquired low detail multi-sensor images and preserving their spectral information. In fusing panchromatic and multispectral images, the objective is to reduce uncertainty and minimize redundancy in the output while maximizing relevant information. Different fusion methods provide different results for different applications, medical imaging, automatic target guidance system, remote sensing, machine vision, automatic change detection, and biometrics. In this paper, we utilize a fuzzy logic approach to fuse images from different sensors, in order to enhance visualization. The work here further explores the comparison between image fusion using wavelet transform and fuzzy logic approach along with performance/quality evaluation measures like image quality index, entropy, mutual information measure, root mean square error, peak signal to noise ratio, fusion factor, fusion symmetry and fusion index. Experimental results prove that the use of the proposed method can efficiently preserve the spectral information while improving the spatial resolution of the remote sensing images.","image fusion,panchromatic,multispectral,wavelet transform,fuzzy logic,mutual information measure,image quality,index,fusion factor,fusion symmetry,fusion index,entropy",,,,2011-12-01
Dr Dammavalam Srinivasa Rao,"Rao, D. S.; Seetha, M.; Prasad, M. H. M. Krishna",No,Novel Approach for Iterative Image Fusion using Fuzzy and Neuro Fuzzy Logic.,Journal,International Journal of Geoinformatics,Yes,No,"June 2015, Vol. 11 Issue 2, p29-39. 11p.",2015,June,2014-15,https://journals.sfu.ca/ijg/index.php/journal/article/view/616,DOI: https://doi.org/10.52939/ijg.v11i2.616,ISSN: 1686-6576,Iternational journel of Geoinformatics,2,"Image fusion may be defined as an approach of merging two or more input images in to a single fused image which is comparatively more informative than all the input images. Image fusion aims to reduce the redundancy and uncertainty in the output and aims to maximize application related significant information. Fused images are used in diverse applications such as remote sensing, machine vision, biometrics, medical imaging and military domain. In this paper, we carry out iterative image fusion through fuzzy logic and neuro fuzzy logic techniques by fusing satellite images obtained from two or more image sensors to improve visualization capability. We also compare the proposed iterative image fusion approach based on fuzzy logic and neuro fuzzy logic with two more approaches like Principal component analysis (PCA) based fusion and the wavelet transform based image fusion. Fused images obtained from iterative image fusion using fuzzy and neuro fuzzy and other comparative methods are assessed through typical quality evaluation metrics. The proposed iterative fusion based on fuzzy logic approach divulges better values in some metrics whereas iterative image fusion based on neuro fuzzy logic technique provides better values in other metrics. Due to the potentiality of the fuzzy logic and neuro fuzzy logic. The overall experimental results generated from suggested approach substantiate that the utilization of the iterative image fusion using fuzzy logic and neuro fuzzy logic techniques would efficiently improve the quality grade of the fused image with concurrent confinement of spectral and spatial information.","Image fusion, fuzzy logic, neuro fuzzy logic, redundancy reduction, uncertainty reduction, application-related information, remote sensing, machine vision, biometrics, medical imaging, military domain, iterative fusion, satellite images, visualization capability, Principal component analysis (PCA), wavelet transform, quality evaluation metrics, spectral information, spatial information, experimental results.",,,,2015-06-01
Dr Dammavalam Srinivasa Rao,"D Srinivasa Rao, M Seetha, MHM Krishna Prasad",No,Quality Assessment Parameters for Iterative Image Fusion Using Fuzzy and Neuro Fuzzy Logic and Applications,Journal,Procedia Technology,Yes,Yes,"Volulme - 19, Pages: 888-894, Springer",2015,April,2014-15,https://pdf.sciencedirectassets.com/282073/1-s2.0-S2212017315X00028/1-s2.0-S2212017315001280/main.pdf?X-Amz-Security-Token=AgoJb3JpZ2luX2VjEKz%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIGOdEp6NhMjo330jBQ%2FcUhxT5PmeDHPfSoXSHrh4DMaJAiEA2Vc7%2BlyDs9U1UBcUeZ0Zj05cyMaMoTJLyhHOqILdc9Mq4wMIpf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARACGgwwNTkwMDM1NDY4NjUiDFCNC7AMWaEZ2OeJpiq3A1yHHa9enRpYtEn3QB2PFcIEEvndUfeco6h4%2FdZwXWkeNAn0B1Gux%2FaPEe0g8gTEKQ3XhcBeexCek4r0%2FsPmGYRjKoDKer%2FFW6zLUrG79ONDqklKrijVeHEB3FDPSkjxdOS6E0%2Bl0t4Ut4Jtj8J%2Bc1s9tdCBPV6u01okFNBYYwzPGxqVrKLph0FIE9IoYcf%2B1uezTgO2cJ%2Bbh3ZhPoXOdavnnGKQ0YRJbNMwYbsuEz8QrG8FnamKA4YhslKO2tkQcEz0G9xKEauB7cUMLFD1euQzoFwSoOE2k%2F0XsyHa8DwIItqoU9qxYas0%2FgdhfITSi%2FU4I7h%2BcMAtJ6Kb4lJ%2BzzUMSBpqnK0ldgM1u2u1xBsxvDHF5S6JM1iokuiK25EwkcFabTJsvXoxJ03TAYnE4ucZAsbNgTvnG%2FTCl9byJ6ZfeV%2Bp4quAvM%2BPP%2FBfWbtVX0Hmq9kzkfZdqstSKSBgKmipt7vhEHx8IQW4sjUo13hCmeqJt6%2Flh7WEO56T2jK%2Bi6N4%2BgR515n7oL%2FYPHVKcnLrRDIRHdcFgSJ2zw1IYsIGhGBjFjrNh%2BTti79rgLLllzscXZ9f%2FDkwkumr7QU6tAFo64z133kC%2Ftzch%2B8OBB1ibqQ8eFikjYYGtv2LmBwUyunfB98hq7hN%2FF%2FRWpJSdBecTTvZ0pYvG1qepTTQ1aTmHyVKZEM9AXY%2BJBXI7Nf8IA1j2t17%2BJX%2F6pBcqmhVVpsayEa8XRRI4qVpbNflVNjmiJMNbortsV%2Fj6V%2FPT5k4%2FQnYQqMW1GSQ7M4wSreFZOwrVtUl1xwS%2FofYRY9QHwClecjwdoNxHPtjEBupioYmh%2BhLnUw%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20191019T125118Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYS6KFVDLW%2F20191019%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=d3caf4c6d5dbe8ae6293182954572100b893a52894ab2d68dc38c607b4f22596&hash=a8defd0aea81b5c9047813a16a9f09981e4eff0676e5527ef214a1522ba83b37&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S2212017315001280&tid=spdf-4e7c4ff6-2a22-4565-95ff-c4f54ae8b93b&sid=32fb8b9b85581444053ad2b1bdb9fff1e8e9gxrqb&type=client,https://doi.org/10.52939/ijg.v11i2.616,ISSN: 2212-0173,Science direct,11,"Image fusion is a process to reduce ambiguity and diffusion while retrieving the valuable information from the original images. Image fusion is demanded for different contexts like remote sensing, medical imaging, machine vision and biometrics. In this paper, an iterative image fusion using fuzzy and neuro fuzzy logic approaches are used to fuse images taken from different sensors to enhance the perception. The proposed work also explores comparison among fuzzy based image fusion, iterative fuzzy fusion, neuro fuzzy logic based image fusion and iterative image fusion using neuro fuzzy logic techniques through quality assessment metrics for image fusion like image quality index, mutual information measure, fusion factor, fusion symmetry, fusion index, root mean square error, peak signal to noise ratio and spatial frequency. Experimental outcomes attained from proposed method prove that the use of the iterative fuzzy and iterative neuro fuzzy fusion can efficiently retain the illusory information while increasing the spatial information of the remote sensing and medical imaging.",fusion factorfusion indexfuzzy logicfusion symmetryimage quality indemutual information measureneuro fuzzy logicpeak signal to noise ratiroot mean square errorspatial frequency.,,,,2015-04-01
Dr Dammavalam Srinivasa Rao,"M Seetha, MHM Krishna Prasad",No,Quality Assesment of Pixel-Based Image Classification of Fused Satellite Images,Journal,Advanced Science Letters,Yes,Yes,"Volume 21,pp 34533457",2015,November,2015-16,DOI: https://doi.org/10.1166/asl.2015.6576,,,ingenta,1,"Image Classification possess supreme role in great many applications like image analysis, remote sensing, image recognition, medical imaging, image interpretation and pattern recognition etc., In given occurrences, the classification process alone can shape the object of the examination. Original images acquired from satellites are unlike at spiritual and structural intentions. Utilization of image processing approaches can refine the grade of image content. Image fusion is a method to converge input images and to compute fused image with more spectral and spatial information furthermore. Image classification using K-Means on fused images produces better results when contrast to image classification of original images. In this paper fused images obtain from different techniques (Principal Component Analysis (PCA), image fusion using Wavelet Transform, Fuzzy logic and image fusion using Neuro fuzzy logic) are classified and assessed using accuracy assessment parameters for the image classification. LISS III multispectral and panchromatic images have been used in this experiment to show the quality enhancement and improved accuracy assessment of fused image over the original images using MATLAB. Due to potentiality of the fusion approach, fused output images generated from fuzzy, neuro fuzzy, iterative fuzzy and iterative neuro fuzzy logic obtained the better classification accuracy and Kappa coefficient compared to classification of original images and classification of PCA based and wavelet based fused images.",Accuracy; Classification; Fusion; Fuzzy Logic; K-Means; Kappa Coefficient; Neuro Fuzzy Logic; PCA; Wavelet,,,,2015-11-11
Dr Dammavalam Srinivasa Rao,"Vijaya Soni B, D. Srinivasa Rao",Yes,"Key Rehabilitation Intervention on Kids, a Keyed Abnormality Revelation System",Journal,International Journal of Research,No,No,"4,17",2017,October,2017-18,https://journals.pen2print.org/index.php/ijr/article/view/11164/10639,,,edupediapublications,0,"KIDS is Keyed Intervention Disclosure theory that recognise in case or not the end user is allowed and supported it the system can block the unauthorized end user and it'll give access to the conventional user. Key recovery system is that the troublesome task in knowledge sharing system. In cluster of workers or in a company once associate degree worker desires to point the info or a file then he will share it exploitation KIDS. The projected system send the key to the end user then the user can get the file together with the key to crack the folder, the key are going to be sent by the system. Key for decipherment is going to be sent to the end user through his or her registered email id. The key sent to the end user are going to be distinctive and key's completely different for each user. Each user has got to enter the received key for file sharing or uploading it to the information. There are 2 potentialities of attacks for convalescent the key i.e. Black crate rush and Gray crate rush. The Keyed IDS System can observe the each stew of rush and blocks the unauthorized user foe accessing the actual file and inform to the registered user. If attacks access the file by getting into wrong key over 5 times then the system can block the assaulter. Keyed Intervention Disclosure theory is an function layer web namely disclosure theory that takes range of payloads.","namely disclosure structure,Intervention Disclosure Scheme, Request for Key",,,,2017-10-01
