nameOfAuthor,listOfAuthors,studentPublication,title,Type of Publication,conferenceName,scopus,wos,publicationDetails,year,month,academicYear,url,doi,ISBN,indexingDetails,Citations,Abstract,keywords,specialization,status,LINK
Dr Y Usha Rani,P.Sammulal Yelipe UshaRani,No,An efficient disease prediction and classification using feature reduction based imputation technique,Conference,"2016 International Conference on Engineering & MIS (ICEMIS), Publisher IEEE",Yes,Yes,,2016,November,2016-17,https://ieeexplore.ieee.org/document/7745363/,,ISBN:978-1-5090-5580-7,SCOPUS,12,,"imputation,missing values,prediction,clusters,classification,accuracy",,,
Dr Y Usha Rani,"Yelipe UshaRani, P Sammulal",No,An approach for imputation of medical records using novel similarity measure,Conference,International Conference on Soft Computing-MENDEL,Yes,Yes,"Pages 221-230, Publisher Springer, Cham",2017,May,2016-17,https://link.springer.com/chapter/10.1007/978-3-319-58088-3_21,https://doi.org/10.1007/978-3-319-58088-3_21,ISBN 978-3-319-58087-6,SCOPUS,11,,"Prediction,Classification,Clustering,Medical record,Missing values,Distance measure",,,
Dr Y Usha Rani,"Yelipe UshaRani, P Sammulal",No,An innovative approach for imputation and classification of medical records for efficient disease prediction,Conference,Proceedings of the Second International Conference on Information and Communication Technology for Competitive Strategies,Yes,Yes,"ICTCS '16: Second International Conference on Information and Communication Technology for Competitive Strategies Udaipur India , March 2016, Article No.: 67, Pages 1–6",2016,March,2015-16,https://dl.acm.org/doi/abs/10.1145/2905055.2905273,https://doi.org/10.1145/2905055.2905273,ISBN: 978-1-4503-3962-9,SCOPUS,9,,NA,,,
Dr Y Usha Rani,"Yelipe UshaRani, P Sammulal",No,A novel approach for imputation of missing values for mining medical datasets,Conference,2015 IEEE International Conference on Computational Intelligence and Computing Research (ICCIC),Yes,Yes,"Pages: 1 - 8, Publisher IEEE Conference Publications",2015,December,2015-16,https://ieeexplore.ieee.org/abstract/document/7435816,DOI: 10.1109/ICCIC.2015.7435816,ISBN:978-1-4799-7848-9,SCOPUS,5,,"imputation,missing values,prediction,nearest neighbor,cluster,medical records,dimensionality reduction",,,
Dr Y Usha Rani,"Dr.Yelepi Usha Rani, Dr.G.Sudhakar Yadav,jamal",yes,Predictive and Behavioral Analytics for Big Data Architecture,Conference,"3rd Innovative Product Design and Intelligent Manufacturing Systems(PPDIMS),NIT,Rourkela",,,,2021,december,2021-22,,Inprocess,,scopus,,,NA,,,
Dr Y Usha Rani,"Dr.Yelepi Usha Rani,Dr.G.Sudhakar Yadav,V.Bharat,V.Saketh ,sowmith Reddy",yes,Mushroom Classification Using Machine Learning Techniques,Conference,"3rd Innovative Product Design and Intelligent Manufacturing Systems(PPDIMS),NIT,Rourkela",yes,no,,2021,december,2021-22,,Inprocess,,scopus,,,NA,,,
A.Revathi,"M.Arathi,A.Revathi",No,Securing user transactions using two factor mobile authentication,Conference,International Conference on Mobile Internet Devices,Yes,Yes,,2010,December,40483,,,,,,,NA,,,
G Naga Chandrika,G. Naga Chandrika,,Web scraping for Unstructured Data over Web,Conference,"Embedded Systems and Artificial Intelligence, Pages 853-859, Publisher, Springer, Singapore",Yes,no,"Advances in Intelligent Systems and Computing, vol 1076. Springer, Singapore",2020,April,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0947-6_81,https://link.springer.com/chapter/10.1007/978-981-15-0947-6_81,ISBN 978-981-15-0946-9,,,,"Bellcore attack,CRT,Fault attacks,RSA,Embedded platforms",,,
G Naga Chandrika,"Madhu.G, Lalith Bharadwaj. B, Sai Vardhan.K, Naga Chandrika.G",yes,A Normalized Mean Algorithm for Imputation of Missing Data Values in Medical Databases,Conference,"Innovations in Electronics and Communication Engineering. Lecture Notes in Networks and Systems, vol 107. Springer, Singapore.",Yes,no,"ICIECE-2019, Innovations in Electronics and Communication Engineering pp 773-781",2019,August,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0947-6_81,DOI https://doi.org/10.1007/978-981-15-0947-6_81,ISBN 978-981-15-3171-2,,,,"Bellcore attack,CRT,Fault attacks,RSA,Embedded platforms",,,
G Naga Chandrika,"G Naga Chandrika, Somula Ramasubbareddy, K Govinda, CS Pavan Kumar",,Maximize Power Generated Using Solar Tracking Mechanism,Conference,Intelligent System Design,Yes,no,"Pages 339-346 Publisher Springer, Singapore",2020,August,2020-21,https://link.springer.com/chapter/10.1007/978-981-15-5400-1_35,DOI https://doi.org/10.1007/978-981-15-5400-1_35,ISBN 978-981-15-5399-8,,,,"Renewable resource,Non-renewable resource,Solar energy",,,
G Naga Chandrika,"G Madhu, B Lalith Bharadwaj, G Nagachandrika, K Sai Vardhan",yes,A Novel Algorithm for Missing Data Imputation on Machine Learning,Conference,2019 International Conference on Smart Systems and Inventive Technology (ICSSIT),Yes,no,Pages 173-177 Publisher IEEE,2019,November,2019-20,https://ieeexplore.ieee.org/abstract/document/8987895,DOI: 10.1109/ICSSIT46314.2019.8987895,ISBN:978-1-7281-2120-8,,,,"Dataset,Imputatio,Normalized Mean,Missing Data Value",,,
Dr D Kalyani,"Kumar, P.V., Kalyani, D.",,Text-Based Handwritten Recognition Through an Image Using Recurrent Neural Network,Conference,ICT Analysis and Applications,Yes,Yes,"Volume 154 Pages 475-486 Part of the Lecture Notes in Networks and Systems book series (LNNS, volume 154)",2020,December,2020-21,https://link.springer.com/chapter/10.1007/978-981-15-8354-4_47,DOI https://doi.org/10.1007/978-981-15-8354-4_47,ISBN 978-981-15-8353-7,,,,"Neural networks,Handwritten character,Image segmentation,Recurrent neural networks",,,
Dr D Kalyani,Dr. R Sridevi D kalyani,,Robust distributed key issuing protocol for identity based encryption,Conference,"2016 International Conference on Advances in Computing, Communications and Informatics (ICACCI)",Yes,Yes,Pages 821-825 Publisher IEEE,2016,December,2016-17,https://ieeexplore.ieee.org/document/7732147,DOI: 10.1109/ICACCI.2016.7732147,ISBN:978-1-5090-2030-0,,7,,"ID-Based cryptography,Threshold Cryptography,Key Escrow,Bilinear Pairings,Key Issuing Protocol",,,
Saritha Vemulapalli,"Saritha Vemulapalli, M Shashi",No,Design and Implementation of an Effective Web Server Log Preprocessing System,International Conference,International Conference on Information Systems Design and Intelligent Applications 2012 (INDIA 2012),yes,No,"Advances in Intelligent and Soft Computing book series (AINSC, volume 132, pp: 897-905)",2012,Jan,40878,https://link.springer.com/chapter/10.1007/978-3-642-27443-5_103,https://doi.org/10.1007/978-3-642-27443-5_103,978-3-642-27443-5,Springer / Scopus,5,,"Data Mining,Web Log Mining,Web Usage Mining,Preprocessing,Cleaning,User Identification,Sessionization,Path Completion",,,
Illa Pavan Kumar,"Pavan Kumar Illa, Balakesavareddy Parvathala, Anand Kumar Sharma",No,Stock price prediction methodology using random forest algorithm and support vector machine,Conference,Materials Today: Proceedings,YES,,In Press,2021,November,2021-22,https://www.sciencedirect.com/science/article/pii/S2214785321069674,https://doi.org/10.1016/j.matpr.2021.10.460,,,0,,NA,,,
Illa Pavan Kumar,"Illa Pavan Kumar, T Senthil Kumar, Abhay Bhardwaj, Surya Prakash, Prashant K Adakane, Devvret Verma",Yes,Medical Image Classification for Disease Prediction with the AID of Machine Learning Approach,Conference,2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),-,-,"Pages 1594-1598 Publisher: IEEE Conference Location: Greater Noida, India",2022,April,2021-22,https://ieeexplore.ieee.org/abstract/document/9823839,10.1109/ICACITE53722.2022.9823839,ISBN:978-1-6654-3790-5,,,,"Machine learning,artificial intelligence,deep learning,image classification,diagnosis",,,
Illa Pavan Kumar,"Illa Pavan Kumar, R Mahaveerakannan, K Praveen Kumar, Indranil Basu, T Ch Anil Kumar, Manasi Choche",Yes,A Design of Disease Diagnosis based Smart Healthcare Model using Deep Learning Technique,Conference,2022 International Conference on Electronics and Renewable Systems (ICEARS),-,-,Pages 1444-1449 Publisher IEEE,2022,March,2021-22,https://ieeexplore.ieee.org/abstract/document/9752063,10.1109/ICEARS53579.2022.9752063,ISBN:978-1-6654-8426-8,,,,"Artificial Intelligence,Internet of Things,Deep Learning,Generative Adversarial Network,Smart Healthcare System,Disease Detection",,,
Illa Pavan Kumar,"Illa Pavan Kumar, T Senthil Kumar, Abhay Bhardwaj, Surya Prakash, Prashant K Adakane, Devvret Verma",Yes,Medical Image Classification for Disease Prediction with the AID of Machine Learning Approach,Conference,2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),,,Pages 1594-1598 Publisher IEEE,2022,April,2021-22,https://ieeexplore.ieee.org/abstract/document/9823839/,DOI: 10.1109/ICACITE53722.2022.9823839,ISBN:978-1-6654-3790-5,"Scopus, Google Scholar",,,"Machine learning,artificial intelligence,deep learning,image classification,diagnosis",,,
Illa Pavan Kumar,"Syed Anwar Hussainy Fazlur, Senthil Kumar Thillaigovindan, Pavan Kumar Illa",No,A Survey on Deep Learning Model for Improved Disease Prediction with Multi Medical Data Sets,Conference,2022 3rd International Conference on Electronics and Sustainable Communication Systems (ICESC),No,,Pages 1530-1537 Publisher IEEE,2022,August,2022-23,https://ieeexplore.ieee.org/abstract/document/9885651,DOI: 10.1109/ICESC54411.2022.9885651,ISBN:978-1-6654-7972-1,"Scopus, Google Scholar",,,"Cardiac data,Deep Learning,Diabetic data,Disease Prediction,Lung Images,Medical Data Set",,,
Dr A Sreenivasa Rao,"Dommalapati Akhil & A.Sreenivasa Rao Denil Walter, Doodi Vighneswar",Yes,Short message System: A State of Art,Conference,"International Conference On Trends in Information, Management, Engineering and Sciences (ICTIMES)",,,,2016,March,2014-15,,,,,,,NA,,,
Dr A Sreenivasa Rao,"Madishetty Mounika Ragi Sneha, Pooja yadav & A.Sreenivasa Rao",Yes,A Regular Association of comparable information with Clustering Methods,Conference,"International Conference On Trends in Information, Management, Engineering and Sciences (ICTIMES)",,,1(1),2016,March,2014-15,,,,,,,NA,,,
Dr A Sreenivasa Rao,"A.Sreenivasa Rao, Prof.S.Ramakrishna, A.Venkata Ramana,Dr.P.Chitti Babu",No,Conceptual Study on data mining,Conference,"International Conference On Trends in Information, Management, Engineering and Sciences (ICTIMES)",,,Volume 1 Issue 1 Pages 59-66,2016,March,2014-15,,,,,,,NA,,,
Dr A Sreenivasa Rao,"A.Sreenivasa Rao, P.Amarnath,D.Krishna,A.Venkata Ramana",No,A Study towards Mining of representative data from World wide web,Conference,"International Conference On Trends in Information, Management, Engineering and Sciences (ICTIMES)",,,1(1),2016,March,2014-15,,,,,,,NA,,,
Dr A Sreenivasa Rao,"K Rakshitha ,A Sreenivasa Rao, Y Sagar,Somula Ramasubba Reddy",Yes,Demonstrating broadcast aggregate keys for data sharing in cloud,Conference,Springer Nature,vol 10,issue 129-142,"Pages 8,Publisher-Springer",2020,March,2019-20,,,,,,,NA,,,
Dr A Sreenivasa Rao,"Rohitha Balagala,Pavan Kumar Varma,Srihitha Cherukuri,A.Sreenivasa Rao",Yes,Personalized search engine- state of artT,Conference,"International Conference On Trends in Information, Management, Engineering and Sciences (ICTIMES)",,,,2016,January,2015-16,,,,,,,NA,,,
Dr A Sreenivasa Rao,"A.Sreenivasa Rao, A.Venkata Ramana, K.Sasidhar & Katiki Srinivas",No,Study on Named Entity Recognition Approaches & Methods,Conference,"International Conference on Systemic,Cybernetics and Informatics(ICSCI)",,,,2011,January,40483,,,,,,,NA,,,
Dr A Sreenivasa Rao,"Katiki Srinivas A.Sreenivasa Rao,A.Venkata Ramana, K.Sasidhar",No,A Study on Text Categorization,Conference,"International Conference on Systemic,Cybernetics and Informatics(ICSCI)",,,,2011,January,40483,,,,,,,NA,,,
Dr A Sreenivasa Rao,"A. Sreenivasa Rao B. Saidhar, A.Venkata Ramana",No,Computational techniques in Data Mining,Conference,DataMining& Data warehousing National workshop,,,,2009,December,40087,,,,,,,NA,,,
Dr A Sreenivasa Rao,"A.Sreenivasa Rao,A .Venkata Ramana",,Web Mining,Conference,"National conference on Applications of Data Mining organized by Sri Padamavati Mahila Viswavidyalayam, Tirupati",,,,2006,April,2005-06,,,,,,,NA,,,
Dr Somula Ramasubba Reddy,"Basu S., Kannayaram G., Ramasubbareddy S., Venkatasubbaiah C.",No,Improved genetic algorithm for monitoring of virtual machines in cloud environment,Conference Paper,"Smart Innovation, Systems and Technologies",Yes,No,"Volume 105, Pages - 319-326Publisher - Springer Science and Business Media Deutschland GmbH, Springer Science and Business Media Deutschland GmbH",2018,November,2018-19,https://link.springer.com/chapter/10.1007/978-981-13-1927-3_34,10.1007/978-981-13-1927-3_34,,,,,"Virtual machine,Genetic algorithm,Local search,Energy consumption,Memory usage",,,SRS-CPUB-013
Dr Somula Ramasubba Reddy,"Prasanna S., Narayan S., NallaKaruppan M.K., Anilkumar C., Ramasubbareddy S.",No,Iterative approach for frequent set mining using hadoop over cloud environment,Conference Paper,"Smart Innovation, Systems and Technologies",Yes,No,"Volume 105, Pages - 399-405Publisher - Springer Science and Business Media Deutschland GmbH, Springer Science and Business Media Deutschland GmbH",2018,November,2018-19,https://link.springer.com/chapter/10.1007%2F978-981-13-1927-3_43,10.1007/978-981-13-1927-3_43,,,,,"Cloud computing,Apriori algorithm,Hadoop,Data mining,Rule mining",,,SRS-CPUB-014
Dr Somula Ramasubba Reddy,"Rajasekaran R., Kanumuri U., Siddhardha Kumar M., Ramasubbareddy S., Ashok S.",No,Sentiment analysis of restaurant reviews,Conference Paper,"Smart Innovation, Systems and Technologies",Yes,No,"Volume 105, Pages - 383-390Publisher - Springer Science and Business Media Deutschland GmbH, Springer Science and Business Media Deutschland GmbH",2018,November,2018-19,https://link.springer.com/chapter/10.1007/978-981-13-1927-3_41,10.1007/978-981-13-1927-3_41,,,,,"Data mining,Data analysis,Sentiment analysis",,,SRS-CPUB-024
Dr Somula Ramasubba Reddy,"Somula R., Sasikala R.",No,A honey bee inspired cloudlet selection for resource allocation,Conference Paper,"Smart Innovation, Systems and Technologies",Yes,No,"Volume 105, Pages - 335-343Publisher - Springer Science and Business Media Deutschland GmbH, Springer Science and Business Media Deutschland GmbH",2019,January,2018-19,https://link.springer.com/chapter/10.1007/978-981-13-1927-3_36,10.1007/978-981-13-1927-3_36,21903018,,,,"Mobile cloud computing,Cloudlet,Offloading,Honey bee behavior,Load balancing,Priorities of task",,,SRS-CPUB-001
Dr Somula Ramasubba Reddy,"Somula R., Nalluri S., NallaKaruppan M.K., Ashok S., Kannayaram G.",No,Analysis of CPU scheduling algorithms for cloud computing,Conference Paper,"Smart Innovation, Systems and Technologies",Yes,No,"Volume 105, Pages - 375-382Publisher - Springer Science and Business Media Deutschland GmbH, Springer Science and Business Media Deutschland GmbH",2019,July,2018-19,https://www.springerprofessional.de/en/analysis-of-cpu-scheduling-algorithms-for-cloud-computing/17005472,10.1007/978-981-13-1927-3_40,21903018,,,,NA,,,SRS-CPUB-005
Dr Somula Ramasubba Reddy,"Reddy S., Nalluri S., Kunisetti S., Ashok S., Venkatesh B.",No,Content-based movie recommendation system using genre correlation,Conference Paper,"Smart Innovation, Systems and Technologies",Yes,No,"Volume 105, Pages - 391-397Publisher - Springer Science and Business Media Deutschland GmbH, Springer Science and Business Media Deutschland GmbH",2018,November,2019-20,"https://link.springer.com/chapter/10.1007/978-981-13-1927-3_42#:~:text=Movie%20recommendation%20systems%20usually%20predict,present%20in%20previously%20liked%20movies.&text=The%20approach%20adopted%20to%20do,system%20is%20Movie%20Lens%20dataset.",10.1007/978-981-13-1927-3_42,21903018,,,,"Recommender system,Content-based analyzer,Movie dataset,R tool",,,SRS-CPUB-006
Dr Somula Ramasubba Reddy,"Arun Bhukya K., Ramasubbareddy S., Govinda K., Aditya Sai Srinivas T.",No,Adaptive Mechanism for Smart Street Lighting System,Conference Paper,"Smart Innovation, Systems and Technologies",Yes,No,"Volume 160, Pages - 69-76Publisher - Springer, Springer",2019,October,2019-20,https://link.springer.com/chapter/10.1007/978-981-32-9690-9_8,10.1007/978-981-32-9690-9_8,21903018,,,,"Smart street light,Arduino,LED (light emitting diode),LDR (light dependent resistor),IR (infrared) motion sensor,PIR (passive infrared) motion sensor",,,SRS-CPUB-004
Dr Somula Ramasubba Reddy,"Mahesh B., Pavan Kumar K., Ramasubbareddy S., Swetha E.",No,A Review on Data Deduplication Techniques in Cloud,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1076, Pages - 825-833Publisher - Springer, Springer",2020,April,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0947-6_78,10.1007/978-981-15-0947-6_78,21945357,,,,"Cloud computing,Deduplication,Reduction",,,SRS-CPUB-002
Dr Somula Ramasubba Reddy,"Revathi A., Kalyani D., Ramasubbareddy S., Govinda K.",No,Critical Review on Course Recommendation System with Various Similarities,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1076, Pages - 843-852Publisher - Springer, Springer",2020,April,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0947-6_80,10.1007/978-981-15-0947-6_80,21945357,,,,"Recommendation systems,GQL,Cosine similarity,DBMS",,,SRS-CPUB-007
Dr Somula Ramasubba Reddy,"Naga Chandrika G., Ramasubbareddy S., Govinda K., Swetha E.",No,Web Scraping for Unstructured Data Over Web,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1076, Pages - 853-859Publisher - Springer, Springer",2020,April,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0947-6_81,10.1007/978-981-15-0947-6_81,,,,,"Bellcore attack,CRT,Fault attacks,RSA,Embedded platforms",,,SRS-CPUB-030
Dr Somula Ramasubba Reddy,"Sankar S., Ramasubbareddy S., Chen F., Gandomi A.H.",No,Energy-Efficient Cluster-based Routing Protocol in Internet of Things Using Swarm Intelligence,Conference Paper,"2020 IEEE Symposium Series on Computational Intelligence, SSCI 2020",Yes,No,"Volume , Pages - 219-224Publisher - Institute of Electrical and Electronics Engineers Inc., Institute of Electrical and Electronics Engineers Inc.",2020,December,2019-20,https://ieeexplore.ieee.org/document/9308609,10.1109/SSCI47803.2020.9308609,,,,,"Internet of Things,Wireless Sensor Networks,Swarm Intelligence,Sailfish optimization Algorithm",,,SRS-CPUB-009
Dr Somula Ramasubba Reddy,"Pradeepthi C., Vijaya Geetha V.J., Ramasubbareddy S., Govinda K.",No,Prediction of real estate price using clustering techniques,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1054, Pages - 281-289Publisher - Springer, Springer",2020,February,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0135-7_27,10.1007/978-981-15-0135-7_27,,,,,"Prediction,K-means,DBSCAN,Density-based clustering,Farthest first clustering",,,SRS-CPUB-019
Dr Somula Ramasubba Reddy,"Lakshmi Devi B., Varaswathi Bai V., Ramasubbareddy S., Govinda K.",No,Sentiment analysis on movie reviews,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1054, Pages - 321-328Publisher - Springer, Springer",2020,February,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0135-7_31,10.1007/978-981-15-0135-7_31,,,,,"Prediction,Movie reviews,Naive Bayes,Decision tree,SLIQ",,,SRS-CPUB-025
Dr Somula Ramasubba Reddy,"Pavan Kumar I., Hara Gopal V.P., Ramasubbareddy S., Nalluri S., Govinda K.",No,Dominant Color Palette Extraction by K-Means Clustering Algorithm and Reconstruction of Image,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1079, Pages - 921-929Publisher - Springer, Springer",2020,January,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-1097-7_78,10.1007/978-981-15-1097-7_78,21945357,,,,"RGB space,HSV space,Clustering,Clusters,Centroids,K-implies,Kaufman introduction,Shading containers",,,SRS-CPUB-008
Dr Somula Ramasubba Reddy,"Aditya Sai Srinivas T., Somula R., Govinda K.",No,Privacy and Security in Aadhaar,Conference Paper,"Smart Innovation, Systems and Technologies",Yes,No,"Volume 159, Pages - 405-410Publisher - Springer, Springer",2020,January,2019-20,https://link.springer.com/chapter/10.1007%2F978-981-13-9282-5_38,10.1007/978-981-13-9282-5_38,,,,,"Aadhaar,UIDAI,Security,Privacy,Data",,,SRS-CPUB-020
Dr Somula Ramasubba Reddy,"Pavan Kumar I., Sambangi S., Somukoa R., Nalluri S., Govinda K.",No,Server Security in Cloud Computing Using Block-Chaining Technique,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1079, Pages - 913-920Publisher - Springer, Springer",2020,January,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-1097-7_77,10.1007/978-981-15-1097-7_77,,,,,"Cloud computing,Security,Block-chain,Encryption",,,SRS-CPUB-026
Dr Somula Ramasubba Reddy,"Lavanya V., Ramasubbareddy S., Govinda K.",No,Fuzzy Keyword Matching Using N-Gram and Cryptographic Approach Over Encrypted Data in Cloud,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1076, Pages - 551-558Publisher - Springer, Springer",2020,April,2020-21,https://link.springer.com/chapter/10.1007%2F978-981-15-0947-6_52,10.1007/978-981-15-0947-6_52,,,,,"Fuzzy,Encryption,Cloud,N-gram,Security",,,SRS-CPUB-011
Dr Somula Ramasubba Reddy,"Somula R., Dinesh Kumar K., Aravindharamanan S., Govinda K.",No,Twitter Sentiment Analysis Based on US Presidential Election 2016,Conference Paper,"Smart Innovation, Systems and Technologies",Yes,No,"Volume 159, Pages - 363-373Publisher - Springer, Springer",2020,July,2020-21,https://research.vit.ac.in/publication/twitter-sentiment-analysis-based,10.1007/978-981-13-9282-5_34,,,,,,,,SRS-CPUB-029
Dr Somula Ramasubba Reddy,"Samanta S., Singhar S.S., Gandomi A.H., Ramasubbareddy S., Sankar S.",No,A WiVi Based IoT Framework for Detection of Human Trafficking Victims Kept in Hideouts,Conference Paper,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Yes,No,"Volume 12405 LNCS, Pages - 96-107Publisher - Springer Science and Business Media Deutschland GmbH, Springer Science and Business Media Deutschland GmbH",2020,September,2020-21,https://link.springer.com/chapter/10.1007/978-3-030-59615-6_7,10.1007/978-3-030-59615-6_7,3029743,,,,"Human trafficking,WiVi,Object detection,IoT,WiFi,Radio frequency,See-through wall,Human presence detection",,,SRS-CPUB-003
Dr Somula Ramasubba Reddy,"Ravindranath V., Ramasamy S., Somula R., Sahoo K.S., Gandomi A.H.",No,Swarm Intelligence Based Feature Selection for Intrusion and Detection System in Cloud Infrastructure,Conference Paper,"2020 IEEE Congress on Evolutionary Computation, CEC 2020 - Conference Proceedings",Yes,No,"Volume , Pages - -Publisher - Institute of Electrical and Electronics Engineers Inc., Institute of Electrical and Electronics Engineers Inc.",2020,September,2020-21,https://ieeexplore.ieee.org/document/9185887,10.1109/CEC48606.2020.9185887,,,,,"Intrusion Detection,Cloud Computing,Machine Learning,Feature Selection,Whale Pearson wrapper",,,SRS-CPUB-028
Dr Somula Ramasubba Reddy,"Naga Chandrika G., Ramasubbareddy S., Govinda K., Pavan Kumar C.S.",No,Maximize power generated using solar tracking mechanism,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1171, Pages - 339-346Publisher - Springer, Springer",2021,August,2020-21,https://link.springer.com/chapter/10.1007%2F978-981-15-5400-1_35,10.1007/978-981-15-5400-1_35,,,,,"Renewable resource,Non-renewable resource,Solar energy",,,SRS-CPUB-015
Dr Somula Ramasubba Reddy,"Ramasubbareddy S., Manik M., Srinivas T.A.S., Govinda K.",No,Plants nutrient deficiency identification using classification,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1171, Pages - 329-338Publisher - Springer, Springer",2021,August,2020-21,https://link.springer.com/chapter/10.1007/978-981-15-5400-1_34,10.1007/978-981-15-5400-1_34,,,,,"Business analysis,K-means,Clustering techniques,Custom relation",,,SRS-CPUB-017
Dr Somula Ramasubba Reddy,"Begum S., Satish T., Suresh C., Bhavani T., Ramasubbareddy S.",No,Predicting type of lung cancer by using k-mlr algorithm,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1171, Pages - 377-388Publisher - Springer, Springer",2021,August,2020-21,https://link.springer.com/chapter/10.1007%2F978-981-15-5400-1_39,10.1007/978-981-15-5400-1_39,,,,,"Lung cancer,Pulmonary nodules,CT scan,Prediction,K-means,Regression",,,SRS-CPUB-018
Dr Somula Ramasubba Reddy,"Ramasubbareddy S., Srinivas T.A.S., Govinda K., Swetha E.",No,Sales analysis on back friday using machine learning techniques,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1171, Pages - 313-319Publisher - Springer, Springer",2021,January,2020-21,https://link.springer.com/chapter/10.1007%2F978-981-15-5400-1_32,10.1007/978-981-15-5400-1_32,,,,,"Black Friday,Model for predicating,Regressors,NN,ML",,,SRS-CPUB-022
Dr Somula Ramasubba Reddy,"Govinda K., Naveenraj K., Reddy S.R.S.",No,Sentiment analysis for product rating using classification,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1200 AISC, Pages - 785-793Publisher - Springer, Springer",2021,July,2020-21,https://link.springer.com/chapter/10.1007/978-3-030-51859-2_71,10.1007/978-3-030-51859-2_71,,,,,"E-Commerce,Classification,NLP,ROC,AUC",,,SRS-CPUB-023
Dr Somula Ramasubba Reddy,"Aravindharamanan S., Ramasubbareddy S., Govinda K., Swetha E.",No,Gmusic player using self-adjusting graph data structures,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1171, Pages - 321-327Publisher - Springer, Springer",2021,August,2021-22,https://link.springer.com/chapter/10.1007%2F978-981-15-5400-1_33,10.1007/978-981-15-5400-1_33,,,,,"Self-adjusting,Memorization,Dynamic algorithms",,,SRS-CPUB-012
Dr Somula Ramasubba Reddy,"Aditya Sai Srinivas T., Ramasubbareddy S., Sharma A., Govinda K.",No,Optimal energy distribution in smart grid,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1177, Pages - 383-391Publisher - Springer Science and Business Media Deutschland GmbH, Springer Science and Business Media Deutschland GmbH",2021,August,2021-22,https://link.springer.com/chapter/10.1007%2F978-981-15-5679-1_36,10.1007/978-981-15-5679-1_36,,,,,"Generation,Weight,Consumption,Revenue,Area",,,SRS-CPUB-016
Dr Somula Ramasubba Reddy,"Dande M., Ramasubbareddy S.",No,Robust automation testing tool for gui applications in agile world—faster to market,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1177, Pages - 393-407Publisher - Springer Science and Business Media Deutschland GmbH, Springer Science and Business Media Deutschland GmbH",2021,August,2021-22,https://link.springer.com/chapter/10.1007%2F978-981-15-5679-1_37,10.1007/978-981-15-5679-1_37,,,,,"GUI automation testing framework,Robust,Efficient and effective automation,Agile-based and script-less automation and hybrid framework,Script-less agile-based and script-less automation and hybrid framework,Customized test execution results",,,SRS-CPUB-021
Dr Somula Ramasubba Reddy,"Aditya Sai Srinivas T., Ramasubbareddy S., Govinda K., Pavan Kumar C.S.",No,Storage optimization using file compression techniques for big data,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1177, Pages - 409-416Publisher - Springer Science and Business Media Deutschland GmbH, Springer Science and Business Media Deutschland GmbH",2021,August,2021-22,https://link.springer.com/chapter/10.1007/978-981-15-5679-1_38,10.1007/978-981-15-5679-1_38,,,,,"Data,Lossy,Lossless,Compression,Huffman",,,SRS-CPUB-027
Dr Somula Ramasubba Reddy,"Jena M.D., Singhar S.S., Mohanta B.K., Ramasubbareddy S.",No,Ensuring data privacy using machine learning for responsible data science,Conference Paper,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1177, Pages - 507-514Publisher - Springer Science and Business Media Deutschland GmbH, Springer Science and Business Media Deutschland GmbH",2021,August,2022-22,https://link.springer.com/chapter/10.1007/978-981-15-5679-1_49,10.1007/978-981-15-5679-1_49,,,,,"Data,Privacy issues,Machine learning,Privacy,Cryptography,AI",,,SRS-CPUB-010
