nameOfAuthor,listOfAuthors,studentPublication,title,Type of Publication,conferenceName,scopus,wos,publicationDetails,year,month,academicYear,url,doi,ISBN,indexingDetails,noOfCitations,abstract,keywords,specialisation,status,link
S. Renu Deepti,"A Manisha, S Renu Deepti",Yes,A TDMA Scheduling for Particle Swarm Optimization-Based Unequal Clustering in WSN: PSO-UFC-TDMA,Book Chapter,Proceedings of International Conference on Advances in Computer Engineering and Communication Systems,,,"Pages 283-295, Learning and Analytics in Intelligent Systems, vol 20. Springer, Singapore.",2021,January,2020-21,https://link.springer.com/chapter/10.1007/978-981-15-9293-5_25#citeas,https://doi.org/10.1007/978-981-15-9293-5_25,ISBN978-981-15-9292-8,,,,NA,,,
Dr Somula Ramasubba Reddy,"Somula R., Sasikala R.",No,A research review on energy consumption of different frameworks in mobile cloud computing,Book Chapter,Lecture Notes in Networks and Systems,Yes,No,"Volume 32, Pages - 129-142Publisher - Springer, Springer",2018,May,2017-18,https://link.springer.com/chapter/10.1007/978-981-10-8201-6_15,10.1007/978-981-10-8201-6_15,23673370,,,,"Cloud computing (CC),Mobile cloud computing (MCC),Networking,Energy consumption,Offloading,Algorithm,Partitioning",,,SRS-BPUB-001
Dr Somula Ramasubba Reddy,D. KalyaniSomula RamasubbareddyEmail authorK. GovindaV. Kumar,No,Location-Based Proactive Handoff Mechanism in Mobile Ad Hoc Network,Book Chapter,Algorithms for Intelligent Systems book series (AIS),Yes,No,"Nil, pp 85-94, December",2019,December,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0633-8_9,DOI https://doi.org/10.1007/978-981-15-0633-8_9,Print ISBN 978-981-15-0632-1,,,,"Location,Mobile,RFID,WiMAX,Access point",,,SRS-BPUB-010
Dr Somula Ramasubba Reddy,A. Vijaya Krishna,No,Task Scheduling Based on Hybrid Algorithm for Cloud Computing,Book Chapter,"International Conference on Intelligent Computing and Smart Communication 2019, Springer Book Series Algorithms for Intelligent Systems",Yes,No,"Algorithms for Intelligent Systems. Springer, Singapore, 415-421, December",2019,December,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0633-8_40#citeas,https://doi.org/10.1007/978-981-15-0633-8_40,Print ISBN 978-981-15-0632-1,,,,NA,,,SRS-BPUB-011
Dr Somula Ramasubba Reddy,T. Aditya Sai SrinivasSomula RamasubbareddyEmail authorK. GovindaS. S. Manivannan,No,Web Image Authentication Using Embedding Invisible Watermarking,Book Chapter,Part of the Algorithms for Intelligent Systems book series (AIS),Yes,No,"Part of the Algorithms for Intelligent Systems book series (AIS), pp 207-218, December",2019,December,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0633-8_20,DOI https://doi.org/10.1007/978-981-15-0633-8_20,Print ISBN 978-981-15-0632-1,,,,"Watermarking,Data hiding,Handwritten signature,DCT,Embedding,Extraction",,,SRS-BPUB-012
Dr Somula Ramasubba Reddy,"Vijaya Saraswathi R., Nalluri S., Ramasubbareddy S., Govinda K., Swetha E.",No,Brilliant Corp Yield Prediction Utilizing Internet of Things,Book Chapter,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1079, Pages - 893-902Publisher - Springer, Springer",2020,January,2019-20,https://link.springer.com/chapter/10.1007%2F978-981-15-1097-7_75,10.1007/978-981-15-1097-7_75,21945357,,,,"Agricultural yield,Internet of Things,Sensors,Cloud,Microcontroller,Smart information system",,,SRS-BPUB-003
Dr Somula Ramasubba Reddy,"Nalluri S., Vijaya Saraswathi R., Ramasubbareddy S., Govinda K., Swetha E.",No,Chronic Heart Disease Prediction Using Data Mining Techniques,Book Chapter,Advances in Intelligent Systems and Computing,Yes,No,"Volume 1079, Pages - 903-912Publisher - Springer, Springer",2020,January,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-1097-7_76,10.1007/978-981-15-1097-7_76,21945357,,,,"Chronic heart disease,Logistic regression",,,SRS-BPUB-004
Dr Somula Ramasubba Reddy,"Rakshitha K., Rao A.S., Sagar Y., Ramasubbareddy S.",No,Demonstrating Broadcast Aggregate Keys for Data Sharing in Cloud,Book Chapter,Lecture Notes in Networks and Systems,Yes,No,"Volume 103, Pages - 185-193Publisher - Springer, Springer",2020,July,2019-20,https://www.springerprofessional.de/en/demonstrating-broadcast-aggregate-keys-for-data-sharing-in-cloud/17767090,10.1007/978-981-15-2043-3_23,23673370,,,,NA,,,SRS-BPUB-008
Dr Somula Ramasubba Reddy,"Ramasubbareddy S., Srinivas T.A.S., Govinda K., Manivannan S.S.",No,Comparative Study of Clustering Techniques in Market Segmentation,Book Chapter,Lecture Notes in Networks and Systems,Yes,No,"Volume 103, Pages - 117-125Publisher - Springer, Springer",2020,March,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-2043-3_15,10.1007/978-981-15-2043-3_15,23673370,,,,"Business analysis,K-means,Clustering techniques,Customer relation",,,SRS-BPUB-005
Dr Somula Ramasubba Reddy,Kuppani Sathish Somula Ramasubbareddy K. Govinda,No,Detection and Localization of Multiple Objects Using VGGNet and Single Shot Detection,Book Chapter,Information Technology VNRVJIET Hyderabad India,Yes,No,"Emerging Research in Data Engineering Systems and Computer Communications Proceedings of CCODE 2019, 427-439, February",2020,February,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0135-7_40,https://doi.org/10.1007/978-981-15-0135-7_40,978-981-15-0135-7,,,,"CNN,SSD,SGD,VGGNet",,,SRS-BPUB-009
Dr Somula Ramasubba Reddy,"A. Vijaya Krishna, Somula Ramasubbareddy K. Govinda",No,A Unified Platform for Crisis Mapping Using Web Enabled Crowdsourcing Powered by Knowledge Management,Book Chapter,Part of the Algorithms for Intelligent Systems book series (AIS),Yes,No,"Part of the Algorithms for Intelligent Systems book series (AIS), pp 195-205, December",2020,January,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0633-8_19,DOI https://doi.org/10.1007/978-981-15-0633-8_19,Print ISBN 978-981-15-0632-1,,,,"Knowledge management,UPSP,CMS,GIS",,,SRS-BPUB-002
Dr Somula Ramasubba Reddy,Santhosh Maddila Somula Ramasubbareddy K. Govinda,No,Crime and Fraud Detection Using Clustering Techniques,Book Chapter,Innovations in Computer Science and Engineering,Yes,No,"Innovations in Computer Science and Engineering Proceedings of 7th ICICSE, 135-143, March",2020,March,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-2043-3_17,https://doi.org/10.1007/978-981-15-2043-3_17,978-981-15-2042-6,,,,"Data mining,K-means,Prediction,Classification,Clustering",,,SRS-BPUB-006
Dr Somula Ramasubba Reddy,"Somula Ramasubbareddy T. Aditya Sai Srinivas, K. Govinda, S. S. Manivannan",No,Crime Prediction System,Book Chapter,Innovations in Computer Science and Engineering,Yes,No,"Innovations in Computer Science and Engineering Proceedings of 7th ICICSE, 127-134, March",2020,March,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-2043-3_16,https://doi.org/10.1007/978-981-15-2043-3_16,978-981-15-2042-6,,,,"Machine learning,Apriori algorithm,Decision tree,Na�ve Bayes classifier,Prediction",,,SRS-BPUB-007
Dr Somula Ramasubba Reddy,"Syed Muzamil Basha, J Janet, S Balakrishnan, Sajeev Ram, Somula Ramasubbareddy, N Ch Sriman Narayana Iyengar",No,Impact of Early Termination of Lockdown and Maintaining Social Distancing: COVID-19,Book Chapter,How COVID-19 is Accelerating the Digital Revolution: Challenges and Opportunities,-,-,"How COVID-19 is Accelerating the Digital Revolution: Challenges and Opportunities, Publisher Springer Nature,",2022,May,2021-22,https://link.springer.com/chapter/10.1007/978-3-030-98167-9_1,https://doi.org/10.1007/978-3-030-98167-9_1,Print ISBN 978-3-030-98166-2,,,,"COVID-19,SARS,MERS,Pregnancy,Climacteric woman",,,
Dr Somula Ramasubba Reddy,"T Aditya Sai Srinivas, Somula Ramasubbareddy, K Govinda",No,Loan Default Prediction Using Machine Learning Techniques,Book Chapter,Innovations in Computer Science and Engineering pp 529–535,-,-,Innovations in Computer Science and Engineering pp 529–535,2022,March,2021-22,https://link.springer.com/chapter/10.1007/978-981-16-8987-1_56,https://doi.org/10.1007/978-981-16-8987-1_56,Print ISBN 978-981-16-8986-4,,,,"Machine learning,Loan prediction,Banking,Credit risk management,Predictor,Classifiers,Python",,,
Dr Somula Ramasubba Reddy,"Rachagolla Varaprasad, Somula Ramasubbareddy, K Govinda",No,Event Recommendation System Using Machine Learning Techniques,Book Chapter,Book Innovations in Computer Science and Engineering,-,-,"Pages 627-634 Publisher Springer, Singapore",2022,March,2021-22,https://link.springer.com/chapter/10.1007/978-981-16-8987-1_67,https://link.springer.com/chapter/10.1007/978-981-16-8987-1_67#citeas,Print ISBN 978-981-16-8986-4,,,,"Natural language processing,Flutter,Node.js,Flask,Event,Machine learning",,,
Dr Somula Ramasubba Reddy,"P Balakesava Reddy, Somula Ramasubbareddy, Gunti Viswanath, K Govinda",No,Sentiment Analysis of Tweets Related to COVID-19,Book Chapter,Book Innovations in Computer Science and Engineering,-,-,"Pages 385-393 Publisher Springer, Singapore",2022,March,2021-22,https://link.springer.com/chapter/10.1007/978-981-16-8987-1_411,https://doi.org/10.1007/978-981-16-8987-1_41,Print ISBN 978-981-16-8986-4,,,,NA,,,
Dr Somula Ramasubba Reddy,"N Sudhakar Yadav, Somula Ramasubbareddy, M Ravikanth",No,Neural Network-Based Activity Recognition System,Book Chapter,Book Innovations in Computer Science and Engineering,-,-,"Pages 511-518 Publisher Springer, Singapore",2022,March,2021-22,https://link.springer.com/chapter/10.1007/978-981-16-8987-1_54,https://doi.org/10.1007/978-981-16-8987-1_54,Print ISBN 978-981-16-8986-4,,,,"HCI,Neural network,Skeleton,Object,Detection",,,
Dr Somula Ramasubba Reddy,"P Balakesava Reddy, Somula Ramasubbareddy, K Govinda",No,AI-Based Medical Voice Assistant During Covid-19,Book Chapter,Book Innovations in Computer Science and Engineering,-,-,"Pages 119-126 Publisher Springer, Singapore",2022,March,2021-22,https://link.springer.com/chapter/10.1007/978-981-16-8987-1_13,https://doi.org/10.1007/978-981-16-8987-1_13,Print ISBN 978-981-16-8986-4,,,,"AI,Covid-19,Prediction,NLP,EMR�s",,,
Dr Somula Ramasubba Reddy,"Srilatha Pulipati, Ramasubbareddy Somula, Balakesava Reddy Parvathala",No,Nature inspired link prediction and community detection algorithms for social networks: a survey,Book Chapter,International Journal of System Assurance Engineering and Management,-,-,Pages 1-18 Publisher Springer India,2021,May,2021-22,https://link.springer.com/article/10.1007/s13198-021-01125-8,https://doi.org/10.1007/s13198-021-01125-8,,,,,NA,,,
Dr Somula Ramasubba Reddy,"Sudheer Devulapalli, B Venkatesh, Ramasubbareddy Somula",No,Business Analysis During the Pandemic Crisis Using Deep Learning Models,Book Chapter,AI-Driven Intelligent Models for Business Excellence,-,-,Pages 68-80 Publisher IGI Global,2023,January,2022-23,https://www.igi-global.com/chapter/business-analysis-during-the-pandemic-crisis-using-deep-learning-models/315394,DOI: 10.4018/978-1-6684-4246-3.ch004,,,,,NA,,,
"Keesara Sravanthi,",Keesara Sravanthi Reddy,No,Blockchain-Enabled Decentralization Service for Automated Parking Systems,Book Chapter,Opportunities and Challenges for Blockchain Technology in Autonomous Vehicles,No,No,(pp. 51-63). IGI Global.,2021,April,2020-21,https://www.igi-global.com/chapter/blockchain-enabled-decentralization-service-for-automated-parking-systems/262695,DOI: 10.4018/978-1-7998-3295-9.ch004,ISBN-13 ? : ? 978-1799832966,No,0,,NA,,,
"Keesara Sravanthi,","Shabnam Kumari, V Vani, Shaveta Malik, Amit Kumar Tyagi, Sravanti Reddy",No,Analysis of Text Mining Tools in Disease Prediction,Book Chapter,International Conference on Hybrid Intelligent Systems HIS 2020: Hybrid Intelligent Systems pp 546–564,Yes,No,"Conference International onference on Hybrid Intelligent Systems Pages 546-564 Publisher Springer, Cham",2021,April,2021-22,https://link.springer.com/chapter/10.1007/978-3-030-73050-5_55,https://doi.org/10.1007/978-3-030-73050-5_55,Print ISBN 978-3-030-73049-9,Scopus Google Scholar,,,"Clustering,Classification,Data mining tools,Disease prediction,Information extraction,Health care",,,
Raswitha Bandi,"Raswitha Bandi,K.Tejaswini",No,Machine and Deep Learning Techniques for Internet of Things based Cloud Systems,Book chapter,Data Science and Data Analytics: Opportunities and Challenges,No,No,,2021,March,2020-21,,,,No,0,,NA,,,
P Balakesava Reddy,"P Balakesava Reddy, Somula Ramasubbareddy, K Govinda",No,AI-Based Medical Voice Assistant During Covid-19,Book Chapter,Book Innovations in Computer Science and Engineering,-,-,"Pages 119-126 Publisher Springer, Singapore",2022,March,2021-22,https://link.springer.com/chapter/10.1007/978-981-16-8987-1_13,https://doi.org/10.1007/978-981-16-8987-1_13,Print ISBN 978-981-16-8986-4,,,,"AI,Covid-19,Prediction,NLP,EMR�s",,,
P Balakesava Reddy,"Srilatha Pulipati, Ramasubbareddy Somula, Balakesava Reddy Parvathala",No,Nature inspired link prediction and community detection algorithms for social networks: a survey,Book Chapter,International Journal of System Assurance Engineering and Management,-,-,Pages 1-18 Publisher Springer India,2021,May,2021-22,https://link.springer.com/article/10.1007/s13198-021-01125-8,https://doi.org/10.1007/s13198-021-01125-8,,,,,"Bio inspired computing,Social networks,Link prediction,Community detection",,,
P Balakesava Reddy,"Balakesava Reddy, P., Ramasubbareddy, S., Saidulu, D., Govinda, K.",,Fruit Recognition Using Deep Learning,Book Chapter,Innovations in Computer Science and Engineering pp 53–62,Yes,-,"Part of the Lecture Notes in Networks and Systems book series (LNNS,volume 171)",2021,April,2020-21,https://link.springer.com/chapter/10.1007/978-981-33-4543-0_7,https://doi.org/10.1007/978-981-33-4543-0_7,Print ISBN 978-981-33-4542-3,,,,"Deep learning,ResNet,Prediction,Network",,,
B. MathuraBai,"B.Mathura Bai, N.Mangathayaru,B.Padmaja Rani",No,Unsupervised Learning Method for Better Imputation of Missing Values,Book Chapter,International Advanced Computing Conference IACC-2022,Yes,No,"Communications in Computer and Information Science Book Series (CCIS, Volume 1782)",2023,July,2023-24,https://link.springer.com/chapter/10.1007/978-3-031-35644-5_3,https://doi.org/10.1007/978-3-031-35644-5_3,"ISSN: 1865-0937, ISBN: 978-3-031-35644-5","Scopus,DBLP, Google Scholar, SCImago",0,"The main objective of any clustering method is to improve the clusters quality. Such an improvement can be achieved using graph partitioning algorithm which partitions the graph into maximum components with minimum cut which represents the optimality of spectrum partitioning. The commonly used graph portioning algorithm is spectral algorithm called known popularly as spectral clustering. Such a unsupervised method can be used during imputation for identifying the optimal clusters. Optimal clusters reduce the search space during imputation and thus achieve dimensionality reduction. The proposed method uses MKNNMBI imputation method in which the non-missing dataset used for imputing the missing values is reduced. The reduction is achieved by using spectral partitioning method for which the non-missing dataset is represented as a graph. The spectrum of a Laplacian graph is obtained using spectral clustering from which the optimal l eigen values are identified as optimal cluster centers for imputation. The imputation is done using this reduced optimal non-missing dataset. The imputed dataset is evaluated by comparing the accuracies of classifiers like SVM, C4.5, NB and kNN. Proposed method has improved the accuracies of the imputation on optimal reduced datasets.","Data Imputation,Clustering,Spectral Partitioning",Machine Learning,Active,https://scholar.google.co.in/citations?user=yKGiAI8AAAAJ&hl=en
D.Dakshayini Hima bindu,"D Dakshayani Himabindu, Keesara Sravanthi, Raswitha Bandi",No,A Review on Internet of Things-Based Cloud Architecture and Its Application,Book chapter,International Conference on Machine Learning and Big Data Analytics,Yes,No,Springer International Publishing,2023,June,2022-23,https://link.springer.com/chapter/10.1007/978-3-031-15175-0_21,https://doi.org/10.1007/978-3-031-15175-0_21,978-3-031-15175-0,Scopus,0,"The recent expansion of the Internet of Things (IoT) and the rise in increased volume of data produced by smart devices have led to the outsourcing of data to specified data centers. It has been expect that different things we see around us are going to be internet world or interconnected. The services like smart homes, microwave ovens, refrigerator, and self-driving cars, which we are enjoying are connections of various computing devices. Internet of Things (IoT) where all devices are having computing platforms run according to the instructions given by Internet. Internet of Things is used to connect various devices via the Internet. In order to store all this applications, we need a large storage capacity. It is also the data, the insights from the data, and the future. By future, I mean the potential for growth and innovation inherent in an IoT network. The more you know about the future, the better you can plan for it now","Internet of Things,Cloud computing,IoT cloud,MQTT,Sigfox sensors",cloud computing,active,https://scholar.google.com/citations?user=7QoJOVQAAAAJ&hl=en&oi=sra
,"D Dakshayani Himabindu, Keesara Sravanthi, Raswitha Bandi",No,A Review on Internet of Things-Based Cloud Architecture and Its Application,Book chapter,International Conference on Machine Learning and Big Data Analytics,Yes,No,Springer International Publishing,2023,June,2022-23,https://link.springer.com/chapter/10.1007/978-3-031-15175-0_21,https://doi.org/10.1007/978-3-031-15175-0_21,978-3-031-15175-0,Scopus,0,"The recent expansion of the Internet of Things (IoT) and the rise in increased volume of data produced by smart devices have led to the outsourcing of data to specified data centers. It has been expect that different things we see around us are going to be internet world or interconnected. The services like smart homes, microwave ovens, refrigerator, and self-driving cars, which we are enjoying are connections of various computing devices. Internet of Things (IoT) where all devices are having computing platforms run according to the instructions given by Internet. Internet of Things is used to connect various devices via the Internet. In order to store all this applications, we need a large storage capacity. It is also the data, the insights from the data, and the future. By future, I mean the potential for growth and innovation inherent in an IoT network. The more you know about the future, the better you can plan for it now","Internet of Things,Cloud computing,IoT cloud,MQTT,Sigfox sensors",cloud computing,active,
Raswitha Bandi,"D Dakshayani Himabindu, Keesara Sravanthi, Raswitha Bandi",No,A Review on Internet of Things-Based Cloud Architecture and Its Application,Book chapter,International Conference on Machine Learning and Big Data Analytics,Yes,No,Springer International Publishing,2023,June,2022-23,https://link.springer.com/chapter/10.1007/978-3-031-15175-0_21,https://doi.org/10.1007/978-3-031-15175-0_21,978-3-031-15175-0,Scopus,0,"The recent expansion of the Internet of Things (IoT) and the rise in increased volume of data produced by smart devices have led to the outsourcing of data to specified data centers. It has been expect that different things we see around us are going to be internet world or interconnected. The services like smart homes, microwave ovens, refrigerator, and self-driving cars, which we are enjoying are connections of various computing devices. Internet of Things (IoT) where all devices are having computing platforms run according to the instructions given by Internet. Internet of Things is used to connect various devices via the Internet. In order to store all this applications, we need a large storage capacity. It is also the data, the insights from the data, and the future. By future, I mean the potential for growth and innovation inherent in an IoT network. The more you know about the future, the better you can plan for it now","Internet of Things,Cloud computing,IoT cloud,MQTT,Sigfox sensors",cloud computing,active,https://scholar.google.com/citations?view_op=list_works&hl=en&hl=en&user=SSaUX-kAAAAJ&sortby=pubdate
Dr.K.Srinivas,"Srinivas Kolli,Ahmed J. Obaid,K. Saikumar,V. Sivakumar Reddy",NO,An Accurate Swine Flu Prediction and Early Prediction Using Data Mining Technique,Book Chapter,SPRINGER (AI and Blockchain in Healthcare),Yes,No,Springer,2023,May,2022-23,https://link.springer.com/chapter/10.1007/978-981-99-0377-1_14,,,,,,"Naive Bayes classifier,Data mining,Swine flu disease",,,
